0,Symbol,Sequence_ID,Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),DecodePub_Protein(short name),DecodePub_Protein(full name),DecodePub_Gene,DecodePub_UniProt,DecodePub_Ensembl.Gene.ID,DecodePub_Entrez.Gene.ID,DecodePub_HGNC.ID
11490_42_UBL4A_UBL4A.txt.gz,UBL4A,11490_42,X,154483717.0,154486615.0,UBL4A,Ubiquitin-like protein 4A,UBL4A,P11441,ENSG00000269715,,HGNC:12505
11493_169_DYNLL2_DYL2.txt.gz,DYNLL2,11493_169,17,58083419.0,58095542.0,DYL2,"Dynein light chain 2, cytoplasmic",DYNLL2,Q96FJ2,ENSG00000121083,,HGNC:24596
11494_4_ELL2_ELL2.txt.gz,ELL2,11494_4,5,95885098.0,95961851.0,ELL2,RNA polymerase II elongation factor ELL2,ELL2,O00472,ENSG00000118985,,HGNC:17064
11510_31_APOL1_Apo_L1.txt.gz,APOL1,11510_31,22,36253071.0,36267530.0,Apo L1,Apolipoprotein L1,APOL1,O14791,ENSG00000100342,8542,HGNC:618
11513_92_CD38_CD38.txt.gz,CD38,11513_92,4,15778275.0,15853232.0,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CD38,P28907,ENSG00000004468,952,HGNC:1667
11514_196_CD59_CD59.txt.gz,CD59,11514_196,11,33703010.0,33736479.0,CD59,CD59 glycoprotein,CD59,P13987,ENSG00000085063,966,HGNC:1689
11516_7_FABP1_FABPL.txt.gz,FABP1,11516_7,2,88122982.0,88128062.0,FABPL,"Fatty acid-binding protein, liver",FABP1,P07148,ENSG00000163586,2168,HGNC:3555
11530_37_HMBS_HEM3.txt.gz,HMBS,11530_37,11,119084866.0,119093834.0,HEM3,Porphobilinogen deaminase,HMBS,P08397,ENSG00000149397,3145,HGNC:4982
11531_24_C10orf54_GI24.txt.gz,C10orf54,11531_24,10,71747556.0,71773520.0,GI24,V-type immunoglobulin domain-containing suppressor of T-cell activation,C10orf54,Q9H7M9,ENSG00000107738,,HGNC:30085
11534_6_LRIT3_LRIT3.txt.gz,LRIT3,11534_6,4,109848107.0,109872315.0,LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",LRIT3,Q3SXY7,ENSG00000183423,,HGNC:24783
11536_9_MYSM1_MYSM1.txt.gz,MYSM1,11536_9,1,58643440.0,58700090.0,MYSM1,Histone H2A deubiquitinase MYSM1,MYSM1,Q5VVJ2,ENSG00000162601,,HGNC:29401
11537_12_TFR2_TFR2.txt.gz,TFR2,11537_12,7,100620416.0,100642779.0,TFR2,Transferrin receptor protein 2,TFR2,Q9UP52,ENSG00000106327,7036,HGNC:11762
11538_216_MLYCD_DCMC.txt.gz,MLYCD,11538_216,16,83899115.0,83951445.0,DCMC,"Malonyl-CoA decarboxylase, mitochondrial",MLYCD,O95822,ENSG00000103150,,HGNC:7150
11539_4_ATP5J2_ATPK.txt.gz,ATP5J2,11539_4,7,99448475.0,99466186.0,ATPK,"ATP synthase subunit f, mitochondrial",ATP5J2,P56134,ENSG00000241468,9551,HGNC:848
11540_37_FOXO3_FOXO3A.txt.gz,FOXO3,11540_37,6,108559835.0,108684774.0,FOXO3A,Forkhead box protein O3,FOXO3,O43524,ENSG00000118689,2309,HGNC:3821
11542_11_TMEM230_TM230.txt.gz,TMEM230,11542_11,20,5068232.0,5113103.0,TM230,Transmembrane protein 230,TMEM230,Q96A57,ENSG00000089063,,HGNC:15876
11543_84_LIMA1_LIMA1.txt.gz,LIMA1,11543_84,12,50175788.0,50283520.0,LIMA1,LIM domain and actin-binding protein 1,LIMA1,Q9UHB6,ENSG00000050405,51474,HGNC:24636
11544_39_PHF3_PHF3.txt.gz,PHF3,11544_39,6,63635802.0,63779336.0,PHF3,PHD finger protein 3,PHF3,Q92576,ENSG00000118482,23469,HGNC:8921
11546_7_CYGB_CYGB.txt.gz,CYGB,11546_7,17,76527356.0,76551175.0,CYGB,Cytoglobin,CYGB,Q8WWM9,ENSG00000161544,114757,HGNC:16505
11547_84_MUSK_MUSK.txt.gz,MUSK,11547_84,9,110668779.0,110806558.0,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",MUSK,O15146,ENSG00000030304,,HGNC:7525
11548_84_CDC25A_MPIP1.txt.gz,CDC25A,11548_84,3,48157146.0,48188417.0,MPIP1,M-phase inducer phosphatase 1,CDC25A,P30304,ENSG00000164045,993,HGNC:1725
11549_6_ISL1_ISL1.txt.gz,ISL1,11549_6,5,51383448.0,51394730.0,ISL1,Insulin gene enhancer protein ISL-1,ISL1,P61371,ENSG00000016082,3670,HGNC:6132
11551_16_HMG20B_HM20B.txt.gz,HMG20B,11551_16,19,3572777.0,3579088.0,HM20B,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related,HMG20B,Q9P0W2,ENSG00000064961,,HGNC:5002
11556_19_ARFGAP1_ARFG1.txt.gz,ARFGAP1,11556_19,20,63272785.0,63289790.0,ARFG1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,Q8N6T3,ENSG00000101199,55738,HGNC:15852
11557_3_SMURF1_SMUF1.txt.gz,SMURF1,11557_3,7,99027440.0,99144108.0,SMUF1,E3 ubiquitin-protein ligase SMURF1,SMURF1,Q9HCE7,ENSG00000198742,57154,HGNC:16807
11560_76_NFATC4_NFAC4.txt.gz,NFATC4,11560_76,14,24365673.0,24379604.0,NFAC4,"Nuclear factor of activated T-cells, cytoplasmic 4",NFATC4,Q14934,ENSG00000100968,4776,HGNC:7778
11562_9_POLE2_DPOE2.txt.gz,POLE2,11562_9,14,49643555.0,49688422.0,DPOE2,DNA polymerase epsilon subunit 2,POLE2,P56282,ENSG00000100479,5427,HGNC:9178
11563_51_SYTL4_SYTL4.txt.gz,SYTL4,11563_51,X,100671783.0,100732123.0,SYTL4,Synaptotagmin-like protein 4,SYTL4,Q96C24,ENSG00000102362,94121,HGNC:15588
11565_58_ZNF23_ZNF23.txt.gz,ZNF23,11565_58,16,71447597.0,71463095.0,ZNF23,Zinc finger protein 23,ZNF23,P17027,ENSG00000167377,,HGNC:13023
11566_48_KRT72_Keratin_72.txt.gz,KRT72,11566_48,12,52585589.0,52601538.0,Keratin 72,"Keratin, type II cytoskeletal 72",KRT72,Q14CN4,ENSG00000170486,140807,HGNC:28932
11567_23_ZNF10_ZNF10.txt.gz,ZNF10,11567_23,12,133130575.0,133159465.0,ZNF10,Zinc finger protein 10,ZNF10,P21506,ENSG00000256223,,HGNC:12879
11568_2_FKBP1B_FKB1B.txt.gz,FKBP1B,11568_2,2,24049701.0,24063681.0,FKB1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,FKBP1B,P68106,ENSG00000119782,2281,HGNC:3712
11570_94_BCAP29_BAP29.txt.gz,BCAP29,11570_94,7,107580246.0,107629170.0,BAP29,B-cell receptor-associated protein 29,BCAP29,Q9UHQ4,ENSG00000075790,,HGNC:24131
11571_75_KLRC3_NKG2E.txt.gz,KLRC3,11571_75,12,10412315.0,10420595.0,NKG2E,NKG2-E type II integral membrane protein,KLRC3,Q07444,ENSG00000205810,3823,HGNC:6376
11572_4_DNM2_DYN2.txt.gz,DNM2,11572_4,19,10718055.0,10833488.0,DYN2,Dynamin-2,DNM2,P50570,ENSG00000079805,1785,HGNC:2974
11573_3_SRSF6_SRSF6.txt.gz,SRSF6,11573_3,20,43457893.0,43466046.0,SRSF6,Serine/arginine-rich splicing factor 6,SRSF6,Q13247,ENSG00000124193,,HGNC:10788
11582_63_DNAJA2_DNJA2.txt.gz,DNAJA2,11582_63,16,46955362.0,46973674.0,DNJA2,DnaJ homolog subfamily A member 2,DNAJA2,O60884,ENSG00000069345,10294,HGNC:14884
11587_5_MGA_MGAP.txt.gz,MGA,11587_5,15,41621134.0,41773081.0,MGAP,MAX gene-associated protein,MGA,Q8IWI9,ENSG00000174197,,HGNC:14010
11590_5_RBM23_RBM23.txt.gz,RBM23,11590_5,14,22893204.0,22919182.0,RBM23,Probable RNA-binding protein 23,RBM23,Q86U06,ENSG00000100461,,HGNC:20155
11591_43_PRC1_PRC1.txt.gz,PRC1,11591_43,15,90966040.0,90995629.0,PRC1,Protein regulator of cytokinesis 1,PRC1,O43663,ENSG00000198901,9055,HGNC:9341
11592_1_ELAVL1_ELAV1.txt.gz,ELAVL1,11592_1,19,7958573.0,8005659.0,ELAV1,ELAV-like protein 1,ELAVL1,Q15717,ENSG00000066044,1994,HGNC:3312
11593_21_CXCL9_MIG.txt.gz,CXCL9,11593_21,4,76001275.0,76007509.0,MIG,C-X-C motif chemokine 9,CXCL9,Q07325,ENSG00000138755,4283,HGNC:7098
11596_47_ZNF75D_ZN75D.txt.gz,ZNF75D,11596_47,X,135248920.0,135344109.0,ZN75D,Zinc finger protein 75D,ZNF75D,P51815,ENSG00000269162,,HGNC:13145
11601_26_DHX8_DHX8.txt.gz,DHX8,11601_26,17,43483865.0,43610338.0,DHX8,ATP-dependent RNA helicase DHX8,DHX8,Q14562,ENSG00000067596,,HGNC:2749
11606_22_DNAJB6_DNJB6.txt.gz,DNAJB6,11606_22,7,157335381.0,157417439.0,DNJB6,DnaJ homolog subfamily B member 6,DNAJB6,O75190,ENSG00000105993,,HGNC:14888
11607_15_BRD1_BRD1.txt.gz,BRD1,11607_15,22,49773283.0,49827873.0,BRD1,Bromodomain-containing protein 1,BRD1,O95696,ENSG00000100425,23774,HGNC:1102
11608_5_MAP1LC3B_MLP3B.txt.gz,MAP1LC3B,11608_5,16,87383953.0,87404779.0,MLP3B,Microtubule-associated proteins 1A/1B light chain 3B,MAP1LC3B,Q9GZQ8,ENSG00000140941,,HGNC:13352
11614_29_ERH_ERH.txt.gz,ERH,11614_29,14,69380128.0,69398299.0,ERH,Enhancer of rudimentary homolog,ERH,P84090,ENSG00000100632,2079,HGNC:3447
11615_16_DAPP1_DAPP1.txt.gz,DAPP1,11615_16,4,99816827.0,99870190.0,DAPP1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,DAPP1,Q9UN19,ENSG00000070190,27071,HGNC:16500
11616_9_HSF1_HSF1.txt.gz,HSF1,11616_9,8,144291591.0,144314720.0,HSF1,Heat shock factor protein 1,HSF1,Q00613,ENSG00000185122,3297,HGNC:5224
11617_1_ITGAL_LFA_1_alpha_L_chain.txt.gz,ITGAL,11617_1,16,30472658.0,30523567.0,LFA-1 alpha-L chain,Integrin alpha-L,ITGAL,P20701,ENSG00000005844,3683,HGNC:6148
11618_83_MYB_MYB.txt.gz,MYB,11618_83,6,135181308.0,135219173.0,MYB,Transcriptional activator Myb,MYB,P10242,ENSG00000118513,4602,HGNC:7545
11626_7_UBE2V1_UB2V1.txt.gz,UBE2V1,11626_7,20,50081124.0,50115959.0,UB2V1,Ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,Q13404,ENSG00000124208,387522,HGNC:12494
11633_89_AHSA1_AHSA1.txt.gz,AHSA1,11633_89,14,77457870.0,77469472.0,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,O95433,ENSG00000100591,10598,HGNC:1189
11634_32_RGS10_RGS10.txt.gz,RGS10,11634_32,10,119499817.0,119542719.0,RGS10,Regulator of G-protein signaling 10,RGS10,O43665,ENSG00000148908,6001,HGNC:9992
11636_33_TAGLN2_Transgelin_2.txt.gz,TAGLN2,11636_33,1,159918107.0,159925507.0,Transgelin-2,Transgelin-2,TAGLN2,P37802,ENSG00000158710,8407,HGNC:11554
11638_42_B3GALT2_B3GT2.txt.gz,B3GALT2,11638_42,1,193178730.0,193186613.0,B3GT2,"Beta-1,3-galactosyltransferase 2",B3GALT2,O43825,ENSG00000162630,,HGNC:917
11643_73_DTX3L_DTX3L.txt.gz,DTX3L,11643_73,3,122564338.0,122575203.0,DTX3L,E3 ubiquitin-protein ligase DTX3L,DTX3L,Q8TDB6,ENSG00000163840,,HGNC:30323
11645_9_P4HA1_P4HA1.txt.gz,P4HA1,11645_9,10,73007217.0,73096974.0,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,P13674,ENSG00000122884,5033,HGNC:8546
11646_4_CHST9_Carbohydrate_sulfotransferase_9.txt.gz,CHST9,11646_4,18,26906481.0,27185308.0,Carbohydrate sulfotransferase 9,Carbohydrate sulfotransferase 9,CHST9,Q7L1S5,ENSG00000154080,83539,HGNC:19898
11647_6_FZD10_Frizzled_10.txt.gz,FZD10,11647_6,12,130162459.0,130165740.0,Frizzled-10,Frizzled-10,FZD10,Q9ULW2,ENSG00000111432,11211,HGNC:4039
11649_3_SMAP1_SMAP1.txt.gz,SMAP1,11649_3,6,70667776.0,70862011.0,SMAP1,Stromal membrane-associated protein 1,SMAP1,Q8IYB5,ENSG00000112305,,HGNC:19651
11653_69_SLC6A9_SC6A9.txt.gz,SLC6A9,11653_69,1,43991500.0,44031467.0,SC6A9,Sodium- and chloride-dependent glycine transporter 1,SLC6A9,P48067,ENSG00000196517,,HGNC:11056
11654_77_NRSN1_NRSN1.txt.gz,NRSN1,11654_77,6,24126186.0,24154900.0,NRSN1,Neurensin-1,NRSN1,Q8IZ57,ENSG00000152954,,HGNC:17881
11656_110_EVL_EVL.txt.gz,EVL,11656_110,14,99971449.0,100144236.0,EVL,Ena/VASP-like protein,EVL,Q9UI08,ENSG00000196405,51466,HGNC:20234
11657_86_SOCS7_SOCS7.txt.gz,SOCS7,11657_86,17,38351844.0,38405593.0,SOCS7,Suppressor of cytokine signaling 7,SOCS7,O14512,ENSG00000174111,30837,HGNC:29846
11659_31_CLINT1_EPN4.txt.gz,CLINT1,11659_31,5,157785743.0,157859145.0,EPN4,Clathrin interactor 1,CLINT1,Q14677,ENSG00000113282,9685,HGNC:23186
11661_11_NLRP1_NALP1.txt.gz,NLRP1,11661_11,17,5499415.0,5619424.0,NALP1,"NACHT, LRR and PYD domains-containing protein 1",NLRP1,Q9C000,ENSG00000091592,,HGNC:14374
11664_32_ARFGAP2_ARFG2.txt.gz,ARFGAP2,11664_32,11,47164299.0,47177125.0,ARFG2,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,Q8N6H7,ENSG00000149182,84364,HGNC:13504
11666_72_RGS8_RGS8.txt.gz,RGS8,11666_72,1,182641816.0,182684587.0,RGS8,Regulator of G-protein signaling 8,RGS8,P57771,ENSG00000135824,,HGNC:16810
11667_29_TNS2_TENC1.txt.gz,TNS2,11667_29,12,53046969.0,53064379.0,TENC1,Tensin-2,TNS2,Q63HR2,ENSG00000111077,,HGNC:19737
11669_39_SLCO5A1_SO5A1.txt.gz,SLCO5A1,11669_39,8,69667046.0,69834978.0,SO5A1,Solute carrier organic anion transporter family member 5A1,SLCO5A1,Q9H2Y9,ENSG00000137571,,HGNC:19046
11671_19_BRPF1_BRPF1.txt.gz,BRPF1,11671_19,3,9731729.0,9748019.0,BRPF1,Peregrin,BRPF1,P55201,ENSG00000156983,,HGNC:14255
11672_17_KIF16B_KI16B.txt.gz,KIF16B,11672_17,20,16272104.0,16573448.0,KI16B,Kinesin-like protein KIF16B,KIF16B,Q96L93,ENSG00000089177,,HGNC:15869
11677_17_ZDHHC14_ZDH14.txt.gz,ZDHHC14,11677_17,6,157381133.0,157678157.0,ZDH14,Probable palmitoyltransferase ZDHHC14,ZDHHC14,Q8IZN3,ENSG00000175048,,HGNC:20341
11678_105_GJD2_CXD2.txt.gz,GJD2,11678_105,15,34751032.0,34754998.0,CXD2,Gap junction delta-2 protein,GJD2,Q9UKL4,ENSG00000159248,,HGNC:19154
11681_8_AGFG1_NUPL.txt.gz,AGFG1,11681_8,2,227472152.0,227561217.0,NUPL,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,P52594,ENSG00000173744,3267,HGNC:5175
11682_7_TXNIP_TXNIP.txt.gz,TXNIP,11682_7,1,145992435.0,145996579.0,TXNIP,Thioredoxin-interacting protein,TXNIP,Q9H3M7,ENSG00000117289,10628,HGNC:16952
11683_19_GGA3_GGA3.txt.gz,GGA3,11683_19,17,75236599.0,75262363.0,GGA3,ADP-ribosylation factor-binding protein GGA3,GGA3,Q9NZ52,ENSG00000125447,,HGNC:17079
11690_47_ANAPC7_APC7.txt.gz,ANAPC7,11690_47,12,110372900.0,110403730.0,APC7,Anaphase-promoting complex subunit 7,ANAPC7,Q9UJX3,ENSG00000196510,51434,HGNC:17380
11692_21_SHC4_SHC4.txt.gz,SHC4,11692_21,15,48823741.0,48963919.0,SHC4,SHC-transforming protein 4,SHC4,Q6S5L8,ENSG00000185634,,HGNC:16743
11696_7_CRABP2_RABP2.txt.gz,CRABP2,11696_7,1,156699606.0,156705816.0,RABP2,Cellular retinoic acid-binding protein 2,CRABP2,P29373,ENSG00000143320,1382,HGNC:2339
11699_16_PTP4A2_TP4A2.txt.gz,PTP4A2,11699_16,1,31906421.0,31944856.0,TP4A2,Protein tyrosine phosphatase type IVA 2,PTP4A2,Q12974,ENSG00000184007,8073,HGNC:9635
11708_2_LCN1_LCN1.txt.gz,LCN1,11708_2,9,135521438.0,135526540.0,LCN1,Lipocalin-1,LCN1,P31025,ENSG00000160349,3933,HGNC:6525
11709_29_CPT1B_CPT1B.txt.gz,CPT1B,11709_29,22,50568861.0,50578465.0,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",CPT1B,Q92523,ENSG00000205560,1375,HGNC:2329
11715_1_POU2F1_PO2F1.txt.gz,POU2F1,11715_1,1,167220876.0,167427345.0,PO2F1,"POU domain, class 2, transcription factor 1",POU2F1,P14859,ENSG00000143190,,HGNC:9212
11716_28_LRIT2_LRIT2.txt.gz,LRIT2,11716_28,10,84220571.0,84225544.0,LRIT2,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",LRIT2,A6NDA9,ENSG00000204033,,HGNC:23443
11816_84_JAK2_JAK2.txt.gz,JAK2,11816_84,9,4984390.0,5129948.0,JAK2,Tyrosine-protein kinase JAK2,JAK2,O60674,ENSG00000096968,3717,HGNC:6192
11825_27_PPARGC1A_PRGC1.txt.gz,PPARGC1A,11825_27,4,23755041.0,23904089.0,PRGC1,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A,Q9UBK2,ENSG00000109819,10891,HGNC:9237
11827_7_RORC_RORG.txt.gz,RORC,11827_7,1,151806071.0,151831845.0,RORG,Nuclear receptor ROR-gamma,RORC,P51449,ENSG00000143365,,HGNC:10260
11837_7_TNFRSF18_GITR.txt.gz,TNFRSF18,11837_7,1,1203508.0,1206592.0,GITR,Tumor necrosis factor receptor superfamily member 18,TNFRSF18,Q9Y5U5,ENSG00000186891,8784,HGNC:11914
11838_130_PIEZO1_FA38A.txt.gz,PIEZO1,11838_130,16,88715338.0,88785220.0,FA38A,Piezo-type mechanosensitive ion channel component 1,PIEZO1,Q92508,ENSG00000103335,9780,HGNC:28993
11872_9_PCDHGB1_PCDGD.txt.gz,PCDHGB1,11872_9,5,141350099.0,141512975.0,PCDGD,Protocadherin gamma-B1,PCDHGB1,Q9Y5G3,ENSG00000254221,,HGNC:8708
11910_27_DLX4_DLX4.txt.gz,DLX4,11910_27,17,49968588.0,49974959.0,DLX4,Homeobox protein DLX-4,DLX4,Q92988,ENSG00000108813,,HGNC:2917
11911_13_LRRC4B_LRC4B.txt.gz,LRRC4B,11911_13,19,50516892.0,50568435.0,LRC4B,Leucine-rich repeat-containing protein 4B,LRRC4B,Q9NT99,ENSG00000131409,94030,HGNC:25042
11926_23_AAGAB_P34.txt.gz,AAGAB,11926_23,15,67200667.0,67255195.0,P34,Alpha- and gamma-adaptin-binding protein p34,AAGAB,Q6PD74,ENSG00000103591,79719,HGNC:25662
11934_9_INTS3_INT3.txt.gz,INTS3,11934_9,1,153728050.0,153774808.0,INT3,Integrator complex subunit 3,INTS3,Q68E01,ENSG00000143624,65123,HGNC:26153
11952_1_IGDCC3_IGDC3.txt.gz,IGDCC3,11952_1,15,65327127.0,65378002.0,IGDC3,Immunoglobulin superfamily DCC subclass member 3,IGDCC3,Q8IVU1,ENSG00000174498,9543,HGNC:9700
11955_1_ARHGAP1_RHG01.txt.gz,ARHGAP1,11955_1,11,46677080.0,46700619.0,RHG01,Rho GTPase-activating protein 1,ARHGAP1,Q07960,ENSG00000175220,392,HGNC:673
11967_23_CRABP1_RABP1.txt.gz,CRABP1,11967_23,15,78340353.0,78348225.0,RABP1,Cellular retinoic acid-binding protein 1,CRABP1,P29762,ENSG00000166426,1381,HGNC:2338
11969_5_S100A2_S100A2.txt.gz,S100A2,11969_5,1,153561108.0,153567890.0,S100A2,Protein S100-A2,S100A2,P29034,ENSG00000196754,6273,HGNC:10492
11988_24_PTPRH_PTPRH.txt.gz,PTPRH,11988_24,19,55181247.0,55209506.0,PTPRH,Receptor-type tyrosine-protein phosphatase H,PTPRH,Q9HD43,ENSG00000080031,5794,HGNC:9672
11989_35_EMC1_EMC1.txt.gz,EMC1,11989_35,1,19215660.0,19251552.0,EMC1,ER membrane protein complex subunit 1,EMC1,Q8N766,ENSG00000127463,,HGNC:28957
12001_7_TJP1_ZO1.txt.gz,TJP1,12001_7,15,29699367.0,29968915.0,ZO1,Tight junction protein ZO-1,TJP1,Q07157,ENSG00000104067,7082,HGNC:11827
12008_3_CD7_CD7.txt.gz,CD7,12008_3,17,82314868.0,82317608.0,CD7,T-cell antigen CD7,CD7,P09564,ENSG00000173762,924,HGNC:1695
12014_19_PTS_PTPS.txt.gz,PTS,12014_19,11,112226367.0,112269955.0,PTPS,6-pyruvoyl tetrahydrobiopterin synthase,PTS,Q03393,ENSG00000150787,,HGNC:9689
12016_60_CBL_CBL.txt.gz,CBL,12016_60,11,119206298.0,119313926.0,CBL,E3 ubiquitin-protein ligase CBL,CBL,P22681,ENSG00000110395,867,HGNC:1541
12018_84_TPK1_TPK1.txt.gz,TPK1,12018_84,7,144451941.0,144836395.0,TPK1,Thiamin pyrophosphokinase 1,TPK1,Q9H3S4,ENSG00000196511,,HGNC:17358
12020_39_BPGM_PMGE.txt.gz,BPGM,12020_39,7,134646811.0,134679816.0,PMGE,Bisphosphoglycerate mutase,BPGM,P07738,ENSG00000172331,669,HGNC:1093
12022_12_SMAD4_SMAD4.txt.gz,SMAD4,12022_12,18,51028528.0,51085045.0,SMAD4,Mothers against decapentaplegic homolog 4,SMAD4,Q13485,ENSG00000141646,4089,HGNC:6770
12030_82_DES_Desmin.txt.gz,DES,12030_82,2,219418377.0,219426735.0,Desmin,Desmin,DES,P17661,ENSG00000175084,1674,HGNC:2770
12033_3_BUB1_BUB1.txt.gz,BUB1,12033_3,2,110637528.0,110678063.0,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1,O43683,ENSG00000169679,699,HGNC:1148
12034_28_CAP1_CAP_1.txt.gz,CAP1,12034_28,1,40040233.0,40072649.0,CAP 1,Adenylyl cyclase-associated protein 1,CAP1,Q01518,ENSG00000131236,10487,HGNC:20040
12041_33_HSPA1L_HS71L.txt.gz,HSPA1L,12041_33,6,31809619.0,31815283.0,HS71L,Heat shock 70 kDa protein 1-like,HSPA1L,P34931,ENSG00000234258,3305,HGNC:5234
12046_51_TARDBP_TADBP.txt.gz,TARDBP,12046_51,1,11012344.0,11030528.0,TADBP,TAR DNA-binding protein 43,TARDBP,Q13148,ENSG00000120948,23435,HGNC:11571
12329_21_RPS6KA1_KS6A1.txt.gz,RPS6KA1,12329_21,1,26529761.0,26575030.0,KS6A1,Ribosomal protein S6 kinase alpha-1,RPS6KA1,Q15418,ENSG00000117676,6195,HGNC:10430
12332_7_EEF2K_EF2K.txt.gz,EEF2K,12332_7,16,22206278.0,22288738.0,EF2K,Eukaryotic elongation factor 2 kinase,EEF2K,O00418,ENSG00000103319,,HGNC:24615
12333_87_RPIA_RPIA.txt.gz,RPIA,12333_87,2,88691673.0,88750929.0,RPIA,Ribose-5-phosphate isomerase,RPIA,P49247,ENSG00000153574,22934,HGNC:10297
12334_25_SHMT1_cSHMT.txt.gz,SHMT1,12334_25,17,18327860.0,18363563.0,cSHMT,"Serine hydroxymethyltransferase, cytosolic",SHMT1,P34896,ENSG00000176974,6470,HGNC:10850
12338_27_EGFLAM_EGFLA.txt.gz,EGFLAM,12338_27,5,38258409.0,38465480.0,EGFLA,Pikachurin,EGFLAM,Q63HQ2,ENSG00000164318,,HGNC:26810
12340_17_AARS_SYAC.txt.gz,AARS,12340_17,16,70251983.0,70289707.0,SYAC,"Alanine--tRNA ligase, cytoplasmic",AARS,P49588,ENSG00000090861,16,HGNC:20
12341_8_DUSP6_DUS6.txt.gz,DUSP6,12341_8,12,89347235.0,89352501.0,DUS6,Dual specificity protein phosphatase 6,DUSP6,Q16828,ENSG00000139318,1848,HGNC:3072
12343_14_ACAP2_CENB2.txt.gz,ACAP2,12343_14,3,195274745.0,195443044.0,CENB2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",ACAP2,Q15057,ENSG00000114331,23527,HGNC:16469
12345_4_ANAPC10_APC10.txt.gz,ANAPC10,12345_4,4,144831908.0,145098541.0,APC10,Anaphase-promoting complex subunit 10,ANAPC10,Q9UM13,ENSG00000164162,10393,HGNC:24077
12347_29_CCM2_CCM2.txt.gz,CCM2,12347_29,7,44999475.0,45076469.0,CCM2,Cerebral cavernous malformations 2 protein,CCM2,Q9BSQ5,ENSG00000136280,,HGNC:21708
12348_46_SARS2_SYSM.txt.gz,SARS2,12348_46,19,38915266.0,38930763.0,SYSM,"Serine--tRNA ligase, mitochondrial",SARS2,Q9NP81,ENSG00000104835,,HGNC:17697
12350_86_ETS2_ETS2.txt.gz,ETS2,12350_86,21,38805183.0,38824955.0,ETS2,Protein C-ets-2,ETS2,P15036,ENSG00000157557,,HGNC:3489
12352_70_ARRDC3_ARRD3.txt.gz,ARRDC3,12352_70,5,91368631.0,91383317.0,ARRD3,Arrestin domain-containing protein 3,ARRDC3,Q96B67,ENSG00000113369,57561,HGNC:29263
12355_223_MRRF_RRFM.txt.gz,MRRF,12355_223,9,122264603.0,122331337.0,RRFM,"Ribosome-recycling factor, mitochondrial",MRRF,Q96E11,ENSG00000148187,,HGNC:7234
12356_65_SRI_Sorcin.txt.gz,SRI,12356_65,7,88205115.0,88226993.0,Sorcin,Sorcin,SRI,P30626,ENSG00000075142,6717,HGNC:11292
12357_41_SNAP29_SNP29.txt.gz,SNAP29,12357_41,22,20859007.0,20891214.0,SNP29,Synaptosomal-associated protein 29,SNAP29,O95721,ENSG00000099940,9342,HGNC:11133
12358_6_IGBP1_IGBP1.txt.gz,IGBP1,12358_6,X,70133447.0,70166324.0,IGBP1,Immunoglobulin-binding protein 1,IGBP1,P78318,ENSG00000089289,3476,HGNC:5461
12361_102_RRAS2_RRAS2.txt.gz,RRAS2,12361_102,11,14277922.0,14364506.0,RRAS2,Ras-related protein R-Ras2,RRAS2,P62070,ENSG00000133818,22800,HGNC:17271
12363_70_TRIB2_TRIB2.txt.gz,TRIB2,12363_70,2,12716910.0,12742734.0,TRIB2,Tribbles homolog 2,TRIB2,Q92519,ENSG00000071575,28951,HGNC:30809
12365_108_RUVBL1_RUVB1.txt.gz,RUVBL1,12365_108,3,128064778.0,128153914.0,RUVB1,RuvB-like 1,RUVBL1,Q9Y265,ENSG00000175792,8607,HGNC:10474
12366_16_CRYGD_CRGD.txt.gz,CRYGD,12366_16,2,208121607.0,208124524.0,CRGD,Gamma-crystallin D,CRYGD,P07320,ENSG00000118231,1421,HGNC:2411
12367_52_TMEM57_MACOI.txt.gz,TMEM57,12367_52,1,25430858.0,25500209.0,MACOI,Macoilin,TMEM57,Q8N5G2,ENSG00000204178,,HGNC:25572
12368_18_KAT2B_PCAF.txt.gz,KAT2B,12368_18,3,20040446.0,20154404.0,PCAF,Histone acetyltransferase KAT2B,KAT2B,Q92831,ENSG00000114166,8850,HGNC:8638
