Sequence_ID,Full_name,Target_Name,UniprotID,EntrezeeGene_Nname
14107-1,5-formyltetrahydrofolate cyclo-ligase,MTHFS,P49914,MTHFS
14108-15,Transforming growth factor beta-1,TGF-b1,P01137,TGFB1
14109-15,C-C motif chemokine 15,MIP-5,Q16663,CCL15
14110-200,SPARC,ON,P09486,SPARC
14111-15,Thrombospondin-2,TSP2,P35442,THBS2
14112-40,Tumor necrosis factor receptor superfamily member 19L,RELT,Q969Z4,RELT
14114-18,PILR alpha-associated neural protein,PIANP,Q8IYJ0,PIANP
14115-34,Adrenomedullin,Adrenomedullin,P35318,ADM
14116-129,Protein S100-A4,S100A4,P26447,S100A4
14120-2,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,RNF43
14121-24,Tumor necrosis factor receptor superfamily member 10D,TRAIL R4,Q9UBN6,TNFRSF10D
14122-132,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,ZNRF3
14123-34,V-type immunoglobulin domain-containing suppressor of T-cell activation:Extracellular domain,GI24:ECD,Q9H7M9,VSIR
14124-6,Ephrin-A2,Ephrin-A2,O43921,EFNA2
14125-5,Apolipoprotein M,ApoM,O95445,APOM
14127-240,Interferon beta,IFN-b,P01574,IFNB1
14128-121,Interferon alpha-10,IFN10,P01566,IFNA10
14129-1,Interferon alpha-7,IFNA7,P01567,IFNA7
14131-37,Ephrin-B2:Extracellular domain,EFNB2:ECD,P52799,EFNB2
14132-21,HERV-H LTR-associating protein 2,HHLA2,Q9UM44,HHLA2
14133-93,Interleukin-1 receptor type 2,IL-1 sRII,P27930,IL1R2
14134-49,Amphoterin-induced protein 2,AMGO2,Q86SJ2,AMIGO2
14135-3,Relaxin receptor 1,RXFP1,Q9HBX9,RXFP1
14136-234,Complement component C1q receptor,C1QR1,Q9NPY3,CD93
14139-16,Neuregulin-4,NRG4,Q8WWG1,NRG4
14143-8,Histone H2B type 2-E,H2B2E,Q16778,H2BC21
14144-3,Histone H2A type 3,H2A3,Q7L7L0,H2AW
14146-92,Histone H3.1,H31,P68431,H3C1
14148-2,Ubiquitin-like protein ISG15,UCRP,P05161,ISG15
14149-9,Interleukin-36 beta,IL-1F8,Q9NZH7,IL36B
14150-7,Interleukin-36 alpha,IL-1F6,Q9UHA7,IL36A
14151-4,Ubiquitin-like protein ISG15,UCRP,P05161,ISG15
14153-8,Ephrin-A3,Ephrin-A3,P52797,EFNA3
14156-33,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,YWHAB
14157-21,14-3-3 protein epsilon,14-3-3E,P62258,YWHAE
14158-17,Annexin A5,Annexin V,P08758,ANXA5
14175-78,SCP2 sterol-binding domain-containing protein 1,SCP2D,Q9UJQ7,SCP2D1
14178-18,Cyclin-dependent kinase inhibitor 3,CDKN3,Q16667,CDKN3
14186-13,E3 ubiquitin-protein ligase rififylin,RFFL,Q8WZ73,RFFL
14192-31,Phosducin-like protein 2,PDCL2,Q8N4E4,PDCL2
14197-2,PR domain zinc finger protein 1,PRDM1,O75626,PRDM1
14203-3,Annexin A7,ANXA7,P20073,ANXA7
14204-55,Forkhead box protein J2,FOXJ2,Q9P0K8,FOXJ2
14205-6,Protein HEXIM2,HEXI2,Q96MH2,HEXIM2
14206-28,Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 2,APBB1:PID 2,O00213,APBB1
14208-3,Retinoid-binding protein 7,RET7,Q96R05,RBP7
14216-35,Probable ATP-dependent RNA helicase DDX46,DDX46,Q7L014,DDX46
14226-120,S-methylmethionine--homocysteine S-methyltransferase BHMT2,BHMT2,Q9H2M3,BHMT2
14227-21,Myosin light chain 6B,MYL6B,P14649,MYL6B
14229-5,Adenylyltransferase and sulfurtransferase MOCS3,MOCS3,O95396,MOCS3
14237-1,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A
14245-195,Sorting nexin-7,SNX7,Q9UNH6,SNX7
14246-50,Docking protein 2,DOK2,O60496,DOK2
14249-68,Probable E3 ubiquitin-protein ligase MID2,TRIM1,Q9UJV3,MID2
14250-115,Bleomycin hydrolase,BLMH,Q13867,BLMH
14254-27,Tyrosine-protein phosphatase non-receptor type 4,PTN4,P29074,PTPN4
14260-112,Neuroepithelial cell-transforming gene 1 protein,ARHG8,Q7Z628,NET1
14268-4,Sulfiredoxin-1,SRXN1,Q9BYN0,SRXN1
14271-23,Ras-related protein Rab-6B,RAB6B,Q9NRW1,RAB6B
14273-19,Prolyl endopeptidase,PPCE,P48147,PREP
14283-12,Ras-related protein Rab-14,RAB14,P61106,RAB14
14284-23,eIF-2-alpha kinase GCN2,E2AK4,Q9P2K8,EIF2AK4
14286-2,"Nuclear factor of activated T-cells, cytoplasmic 1",NF-ATc1,O95644,NFATC1
14287-6,Ras-related protein Rab-5C,RAB5C,P51148,RAB5C
14291-53,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2,Q99490,AGAP2
14294-61,Methyl-CpG-binding domain protein 1,MBD1,Q9UIS9,MBD1
14309-8,Heterogeneous nuclear ribonucleoprotein H,HNRH1,P31943,HNRNPH1
14314-6,Peptidyl-prolyl cis-trans isomerase-like 2,PPIL2,Q13356,PPIL2
14318-1,Vacuolar protein sorting-associated protein 29,VPS29,Q9UBQ0,VPS29
14324-52,Structural maintenance of chromosomes protein 3,CSPG6,Q9UQE7,SMC3
14326-4,Ubiquitin-conjugating enzyme E2 E1,UB2E1,P51965,UBE2E1
14329-4,Death-inducer obliterator 1,DIDO1,Q9BTC0,DIDO1
14331-262,Dynein light chain Tctex-type 1,DYLT1,P63172,DYNLT1
14332-3,Ras-related protein Ral-A,RALA,P11233,RALA
14334-3,Recoverin,RECO,P35243,RCVRN
14337-1,Trafficking protein particle complex subunit 3,TPPC3,O43617,TRAPPC3
14341-8,Protein FAM69C,FA69C,Q0P6D2,DIPK1C
14583-49,Growth/differentiation factor 8,Myostatin,O14793,MSTN
14587-16,Growth/differentiation factor 11,GDF-11,O95390,GDF11
14593-152,Protein FAM210A,F210A,Q96ND0,FAM210A
14597-5,"Semaphorin-6C, cytoplasmic",SEM6C,Q9H3T2,SEMA6C
14599-18,Stabilin-1,STAB1,Q9NY15,STAB1
14603-51,Uncharacterized protein KIAA0040,KIAA0040,Q15053,KIAA0040
14614-41,Noncompact myelin-associated protein,CA130,Q5T1S8,NCMAP
14615-46,Keratin-associated protein 2-4,KRA24,Q9BYR9,KRTAP2-4
14616-16,Zinc finger protein 382,ZN382,Q96SR6,ZNF382
14618-26,"Vesicular, overexpressed in cancer, prosurvival protein 1",ECOP,Q96AW1,VOPP1
14619-8,Zinc finger protein 526,ZN526,Q8TF50,ZNF526
14623-26,Small ubiquitin-related modifier 3,SUMO3,P55854,SUMO3
14624-51,Transcriptional repressor CTCF,CTCF,P49711,CTCF
14628-72,F-box only protein 3,FBX3,Q9UK99,FBXO3
14631-22,Dual specificity protein phosphatase 16,DUS16,Q9BY84,DUSP16
14633-26,Transmembrane protein 185A,T185A,Q8NFB2,TMEM185A
14634-13,Lutropin-choriogonadotropic hormone receptor,LSHR,P22888,LHCGR
14636-25,Ribonuclease UK114,Ribonuclease UK114,P52758,RIDA
14645-253,Glutathione S-transferase A4,GSTA4,O15217,GSTA4
14655-1,DnaJ homolog subfamily C member 17,DJC17,Q9NVM6,DNAJC17
14662-6,Myeloid zinc finger 1,MZF1,P28698,MZF1
14663-44,E3 ubiquitin-protein ligase RNF8,RNF8,O76064,RNF8
14670-1,Ski-like protein,SKIL,P12757,SKIL
14674-63,Protein kinase C and casein kinase substrate in neurons protein 3,PACN3,Q9UKS6,PACSIN3
14675-20,Eukaryotic translation initiation factor 4B,IF4B,P23588,EIF4B
14684-17,Calpain-2 catalytic subunit,CAN2,P17655,CAPN2
14685-17,RAC-beta serine/threonine-protein kinase,PKB beta,P31751,AKT2
14687-6,Perilipin-3,M6PBP,O60664,PLIN3
14688-6,Tyrosine-protein phosphatase non-receptor type 7,PTN7,P35236,PTPN7
14689-3,Protein SEC13 homolog,SEC13,P55735,SEC13
14692-3,Zinc finger protein 276,ZN276,Q8N554,ZNF276
14696-45,Tryptase beta-2,TPSB2,P20231,TPSB2
14703-6,Prokineticin-1,EG-VEGF,P58294,PROK1
14705-1,Vascular endothelial growth factor D,VEGF-D,O43915,VEGFD
14708-59,Complement component C8 gamma chain,CO8G,P07360,C8G
14711-27,Cystatin-M,Cystatin M,Q15828,CST6
14713-46,Azurocidin,Azurocidin,P20160,AZU1
14747-9,Cytokine receptor-like factor 1,CRLF1,O75462,CRLF1
14748-31,Rho GTPase-activating protein 5,RHG05,Q13017,ARHGAP5
14755-4,Lactotransferrin,Lactoferrin,P02788,LTF
14756-29,Intercellular adhesion molecule 2,sICAM-2,P13598,ICAM2
14757-144,Fibroblast growth factor 8 isoform B,FGF-8B,P55075,FGF8
14759-149,Cadherin-1,Cadherin E,P12830,CDH1
15295-81,Insulin-like growth factor II:Mature,IGF-II:Mature,P01344,IGF2
15297-3,Protein S100-A3,S100A3,P33764,S100A3
15298-199,Neuropilin and tolloid-like protein 1,NETO1,Q8TDF5,NETO1
15299-102,LDLR chaperone MESD,MESD2,Q14696,MESD
15300-66,Coiled-coil domain-containing protein 134,CC134,Q9H6E4,CCDC134
15301-24,Acrosomal protein SP-10,sperm protein 10,P26436,ACRV1
15303-63,Protein S100-A5,S100A5,P33763,S100A5
15304-1,Regenerating islet-derived protein 3-alpha,PAP1,Q06141,REG3A
15305-7,Secretagogin,Secretagogin,O76038,SCGN
15306-20,Immunoglobulin J chain,IgJ,P01591,JCHAIN
15308-108,Brorin,VWC2,Q2TAL6,VWC2
15310-61,Protein regulator of cytokinesis 1,PRC1,O43663,PRC1
15312-14,Protein argonaute-1,AGO1,Q9UL18,AGO1
15313-28,Mitotic spindle assembly checkpoint protein MAD2A,MD2L1,Q13257,MAD2L1
15314-49,Chloride intracellular channel protein 4,CLIC4,Q9Y696,CLIC4
15315-64,Copper homeostasis protein cutC homolog,CUTC,Q9NTM9,CUTC
15316-262,Thioredoxin-like protein 4B,TXN4B,Q9NX01,TXNL4B
15318-75,Protein S100-A10,Calpactin I light chain,P60903,S100A10
15319-226,Cyclin-A1,CCNA1,P78396,CCNA1
15321-8,Complexin-2,CPLX2,Q6PUV4,CPLX2
15322-35,Death domain-containing protein CRADD,CRADD,P78560,CRADD
15323-112,Protein argonaute-3,AGO3,Q9H9G7,AGO3
15324-58,Ferritin light chain,Ferritin light chain,P02792,FTL
15325-14,Neuromodulin,NEUM,P17677,GAP43
15326-64,Guanylate-binding protein 1,GBP1,P32455,GBP1
15329-167,Ragulator complex protein LAMTOR2,MAPIP,Q9Y2Q5,LAMTOR2
15331-47,Histone-binding protein RBBP4,RBBP4,Q09028,RBBP4
15333-11,Stromal cell-derived factor 2,SDF2,Q99470,SDF2
15336-7,Selenoprotein M,SELM,Q8WWX9,SELENOM
15339-32,Cofilin-2,COF2,Q9Y281,CFL2
15343-337,"Kininogen, HMW, Two Chain","Kininogen, HMW, Two Chain",P01042,KNG1
15346-31,Interferon gamma,IFN-g,P01579,IFNG
15347-12,Hemopexin,Hemopexin,P02790,HPX
15358-28,Neuroendocrine protein 7B2,7B2,P05408,SCG5
15361-37,Ankyrin repeat domain-containing protein 1,ANKR1,Q15327,ANKRD1
15363-32,Apolipoprotein A-V,Apo A-V,Q6Q788,APOA5
15364-101,Apolipoprotein C-I,Apo C-I,P02654,APOC1
15365-41,Adhesion G protein-coupled receptor B3,BAI3,O60242,ADGRB3
15367-38,BPI fold-containing family B member 1,LPLC1,Q8TDL5,BPIFB1
15368-3,BMP-binding endothelial regulator protein,BMPER,Q8N8U9,BMPER
15370-5,BolA-like protein 1,BOLA1,Q9Y3E2,BOLA1
15372-43,Bromodomain-containing protein 2,BRD2,P25440,BRD2
15374-15,Gastrokine-1,CA11 protein,Q9NS71,GKN1
15375-49,Carboxypeptidase B,Carboxypeptidase B1,P15086,CPB1
15376-134,Cathepsin E,CATE,P14091,CTSE
15381-45,Discoidin domain-containing receptor 2,Discoidin domain receptor 2,Q16832,DDR2
15383-200,Endothelin-3,Endothelin 3,P14138,EDN3
15384-15,Klotho,KLOTHO,Q9UEF7,KL
15385-116,"Fatty acid-binding protein, intestinal",FABP2,P12104,FABP2
15386-7,"Fatty acid-binding protein, adipocyte",FABPA,P15090,FABP4
15387-44,Neuropilin-2,Neuropilin-2,O60462,NRP2
15388-24,Low affinity immunoglobulin gamma Fc region receptor III-A,FcRIIIa,P08637,FCGR3A
15389-1,"Frataxin, mitochondrial",FRDA,Q16595,FXN
15390-3,Galanin,Galanin,P22466,GAL
15391-114,Growth arrest-specific protein 6,GAS-6,Q14393,GAS6
15394-79,Netrin receptor UNC5B,UNC5B,Q8IZJ1,UNC5B
15395-15,Glutathione S-transferase Mu 1,GST M1-1,P09488,GSTM1
15398-2,FAD-linked sulfhydryl oxidase ALR,HERV1,P55789,GFER
15402-2,DNA-binding protein inhibitor ID-1,ID-1,P41134,ID1
15403-53,DNA-binding protein inhibitor ID-2,ID2,Q02363,ID2
15404-3,Interferon alpha-21,IFN21,P01568,IFNA21
15405-23,Interferon alpha-4,IFNA4,P05014,IFNA4
15412-40,Baculoviral IAP repeat-containing protein 7,KIAP,Q96CA5,BIRC7
15413-3,Phosphatidylcholine-sterol acyltransferase,LCAT,P04180,LCAT
15414-316,L-lactate dehydrogenase A chain,LDHA,P00338,LDHA
15416-54,Lysozyme g-like protein 2,LYG2,Q86SG7,LYG2
15417-3,Serpin B5,Maspin,P36952,SERPINB5
15418-25,Mitogen-activated protein kinase 10,MK10,P53779,MAPK10
15419-15,Matrix metalloproteinase-20,MMP20,O60882,MMP20
15422-12,Myelin P2 protein,MYP2,P02689,PMP2
15426-5,Sialidase-1,NEUR1,Q99519,NEU1
15427-35,Lysyl oxidase homolog 3,LOXL3,P58215,LOXL3
15430-165,Opticin,OPT,Q9UBM4,OPTC
15431-31,"Ornithine carbamoyltransferase, mitochondrial",OTCase,P00480,OTC
15432-1,Otoraplin,Otoraplin,Q9NRC9,OTOR
15433-4,Proto-oncogene tyrosine-protein kinase Src,p60-Src,P12931,SRC
15434-5,Prepronociceptin,PNOC,Q13519,PNOC
15435-4,Purine nucleoside phosphorylase,PNP,P00491,PNP
15436-40,Receptor activity-modifying protein 1,RAMP1,O60894,RAMP1
15437-11,Receptor activity-modifying protein 3,RAMP3,O60896,RAMP3
15439-21,Rho-related GTP-binding protein RhoE,RND3,P61587,RND3
15440-57,Neuroendocrine convertase 2,NEC2,P16519,PCSK2
15441-6,Ganglioside GM2 activator,SAP3,P17900,GM2A
15444-45,Serpin B4,SCCA2,P48594,SERPINB4
15446-25,"Neuregulin-1, sensory and motor neuron-derived factor isoform",SMDF,Q02297,NRG1
15447-45,Sorbitol dehydrogenase,Sorbitol dehydrogenase,Q00796,SORD
15448-47,Sequestosome-1,SQSTM,Q13501,SQSTM1
15449-33,T-cell immunoglobulin and mucin domain-containing protein 4,TIM-4,Q96H15,TIMD4
15452-5,5'-Nucleotidase,5'-Nucleotidase,P21589,NT5E
15453-3,Alpha-1-microglobulin,a1-Microglobulin,P02760,AMBP
15455-40,Disintegrin and metalloproteinase domain-containing protein 15:Extracellular domain,ADA15:ECD,Q13444,ADAM15
15457-14,Aminopeptidase N,Aminopeptidase N,P15144,ANPEP
15460-9,Dipeptidyl peptidase 4,CD26,P27487,DPP4
15462-28,T-cell surface glycoprotein CD8 alpha chain,CD8A,P01732,CD8A
15465-79,Protein canopy homolog 4,CNPY4,Q8N129,CNPY4
15466-30,Collagen alpha-1(IX) chain,CO9A1,P20849,COL9A1
15467-10,Collagen triple helix repeat-containing protein 1,CTHR1,Q96CG8,CTHRC1
15468-14,Complement factor H-related protein 1,FHR1,Q03591,CFHR1
15470-11,Beta-hexosaminidase subunit beta,Hexosaminidase B,P07686,HEXB
15471-29,Pancreatic lipase-related protein 2,LIPR2,P54317,PNLIPRP2
15472-16,Low-density lipoprotein receptor-related protein 11,LRP11,Q86VZ4,LRP11
15474-7,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,PIN1
15475-4,Phospholipid transfer protein,PLTP,P55058,PLTP
15476-6,Regenerating islet-derived protein 3-gamma,REG3G,Q6UW15,REG3G
15480-2,Vascular non-inflammatory molecule 2,VNN2,O95498,VNN2
15481-45,Antibacterial protein LL-37,LL-37,P49913,CAMP
15482-12,Alpha-2-macroglobulin-like protein 1,A2ML1,A8K2U0,A2ML1
15483-377,Agrin,Agrin,O00468,AGRN
15486-126,Amiloride-sensitive amine oxidase [copper-containing],ABP1,P19801,AOC1
15487-164,Liver carboxylesterase 1,"carboxylesterase, liver",P23141,CES1
15491-20,Endosialin,CD248,Q9HCU0,CD248
15492-1,Cysteine-rich motor neuron 1 protein:Extracellular domain,CRIM1:ECD,Q9NZV1,CRIM1
15494-11,Fibroblast growth factor-binding protein 1,FGFP1,Q14512,FGFBP1
15495-9,Folate receptor gamma,FOLR3,P41439,FOLR3
15497-9,Heparan sulfate glucosamine 3-O-sulfotransferase 1,HS3S1,O14792,HS3ST1
15499-11,Attractin,Attractin,O75882,ATRN
15503-15,Left-right determination factor 2,Lefty-A,O00292,LEFTY2
15503-20,Left-right determination factor 2,Lefty-A,O00292,LEFTY2
15504-39,Baculoviral IAP repeat-containing protein 7 Isoform beta,Livin B,Q96CA5,BIRC7
15506-34,Low-density lipoprotein receptor-related protein 12,LRP12,Q9Y561,LRP12
15509-2,Alpha-N-acetylglucosaminidase,NAG,P54802,NAGLU
15511-37,Neuronal pentraxin receptor,NPTXR,O95502,NPTXR
15513-108,Prostasin,Prostasin,Q16651,PRSS8
15514-26,Cholinesterase,Pseudocholinesterase,P06276,BCHE
15515-2,Serum amyloid A-1 protein,SAA,P0DJI8,SAA1
15516-12,Serum amyloid A-4 protein,SAA-4,P35542,SAA4
15521-4,Calsyntenin-1,Alcadein alpha-1,O94985,CLSTN1
15522-2,Golgi-associated plant pathogenesis-related protein 1,GAPR1,Q9H4G4,GLIPR2
15523-9,Delta-aminolevulinic acid dehydratase,HEM2,P13716,ALAD
15524-30,Phosphoglycerate mutase 2,PGAM2,P15259,PGAM2
15525-294,Alcohol dehydrogenase 1C,ADH1G,P00326,ADH1C
15526-33,Glutathione synthetase,GSHB,P48637,GSS
15527-90,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,DLD
15529-33,Cysteine and glycine-rich protein 1,Cysteine-rich protein 1,P21291,CSRP1
15530-33,Ephrin type-B receptor 4,EphB4,P54760,EPHB4
15533-97,Macrophage scavenger receptor types I and II:Extracellular domain,Macrophage scavenger receptor:ECD,P21757,MSR1
15534-26,"Malate dehydrogenase, mitochondrial",Malate dehydrogenase 2,P40926,MDH2
15535-3,Serine protease 27,Marapsin,Q9BQR3,PRSS27
15539-15,SLIT and NTRK-like protein 1,SLIK1,Q96PX8,SLITRK1
15540-6,Vimentin,Vimentin,P08670,VIM
15542-19,"Creatine kinase U-type, mitochondrial",KCRU,P12532,CKMT1A
15544-25,Kallikrein-14,kallikrein 14,Q9P0G3,KLK14
15545-13,Calcineurin subunit B type 1,Calcineurin B a,P63098,PPP3R1
15548-35,D-3-phosphoglycerate dehydrogenase,SERA,O43175,PHGDH
15553-22,Acetylcholinesterase,ACES,P22303,ACHE
15556-49,Alpha-amylase 2B,Alpha-amylase 2B,P19961,AMY2B
15558-63,Glutamyl aminopeptidase,AMPE,Q07075,ENPEP
15559-5,Anthrax toxin receptor 2,ANTR2,P58335,ANTXR2
15560-52,Transcobalamin-2,Apo-TC II,P20062,TCN2
15562-24,Beta-glucuronidase,BGLR,P08236,GUSB
15565-102,Mucin-16,CA125,Q8WXI7,MUC16
15566-10,Calponin-1,Calponin-1,P51911,CNN1
15567-2,T-cell surface glycoprotein CD3 zeta chain,CD3-zeta,P20963,CD247
15569-15,Collagen Type II,Collagen II,P02458,COL2A1
15570-99,Complement receptor type 2,Complement receptor type 2,P20023,CR2
15573-110,Neurocan core protein,CSPG3,O14594,NCAN
15574-37,Cyclin-A2,Cyclin A,P20248,CCNA2
15576-158,Eosinophil cationic protein,ECP,P12724,RNASE3
15579-26,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,ENPP6,Q6UWR7,ENPP6
15580-2,Ephrin type-A receptor 7,EPHA7,Q15375,EPHA7
15581-16,Fibronectin type 3 and ankyrin repeat domains protein 1,FANK1,Q8TC84,FANK1
15582-25,Ficolin-1,FCN1,O00602,FCN1
15583-18,Fc receptor-like B,FCRLB,Q6BAA4,FCRLB
15584-9,Complement factor H-related protein 2,FHR2,P36980,CFHR2
15585-304,Fibulin-5,fibulin 5,Q9UBX5,FBLN5
15587-20,Folate receptor beta,FOLR2,P14207,FOLR2
15588-17,Alpha-galactosidase A,"galactosidase, alpha",P06280,GLA
15589-1,Vitamin D-binding protein,"Gc-Globulin, Mixed Type",P02774,GC
15591-28,Glutathione peroxidase 1,Glutathione peroxidase,P07203,GPX1
15594-47,Serine protease HTRA1,HTRA1,Q92743,HTRA1
15596-7,Protein HEXIM1,HEXI1,O94992,HEXIM1
15602-43,Interleukin-6 receptor subunit alpha,IL-6 sRa,P08887,IL6R
15603-20,Integrin alpha-2,Integrin alpha-2,P17301,ITGA2
15604-18,Mitogen-activated protein kinase 9,JNK2,P45984,MAPK9
15606-19,"Keratin, type I cytoskeletal 19",Keratin 19,P08727,KRT19
15607-56,Pyruvate kinase PKLR,KPYR,P30613,PKLR
15608-5,Ribosomal protein S6 kinase beta-1,KS6B1,P23443,RPS6KB1
15610-72,Cytosol aminopeptidase,LAP,P28838,LAP3
15612-5,Protein lin-7 homolog B,LIN7B,Q9HAP6,LIN7B
15613-16,Pancreatic triacylglycerol lipase,LIPP,P16233,PNLIP
15614-168,Leukocyte immunoglobulin-like receptor subfamily A member 2,LIRA2,Q8N149,LILRA2
15615-8,Leukocyte immunoglobulin-like receptor subfamily B member 3,LIRB3,O75022,LILRB3
15617-8,Cytokine SCM-1 beta,lymphotactin beta,Q9UBD3,XCL2
15619-49,Myelin-oligodendrocyte glycoprotein,MOG,Q16653,MOG
15620-4,Neuroligin-1,NLGN1,Q8N2Q7,NLGN1
15622-13,Opioid-binding protein/cell adhesion molecule,OBCAM,Q14982,OPCML
15623-1,Programmed cell death protein 1,PD-1,Q15116,PDCD1
15626-223,Basement membrane-specific heparan sulfate proteoglycan core protein,Perlecan,P98160,HSPG2
15627-83,RAC-alpha serine/threonine-protein kinase,PKB,P31749,AKT1
15631-18,Pregnancy-specific beta-1-glycoprotein 1,PSG1,P11464,PSG1
15633-6,Retinol-binding protein 4,RBP,P02753,RBP4
15634-139,Slit homolog 1 protein,SLIT1,O75093,SLIT1
15635-4,SPARC-related modular calcium-binding protein 2,SMOC2,Q9H3U7,SMOC2
15636-49,VPS10 domain-containing receptor SorCS1,SORC1,Q8WY21,SORCS1
15637-38,VPS10 domain-containing receptor SorCS3,SORC3,Q9UPU3,SORCS3
15640-54,Transgelin,TAGL,Q01995,TAGLN
15641-20,Tomoregulin-1,TEFF1,Q8IYR6,TMEFF1
15644-1,Biotinidase,Biotinidase,P43251,BTD
15653-9,Collagen alpha-1(X) chain,COAA1,Q03692,COL10A1
15666-21,Bone morphogenetic protein 2,BMP-2,P12643,BMP2
15667-39,Bone morphogenetic protein 4,BMP-4,P12644,BMP4
15668-19,Bone morphogenetic protein 8B,BMP-8,P34820,BMP8B
15669-7,Serine/threonine-protein kinase B-raf,BRAF1,P15056,BRAF
15670-15,Complement C1q-like protein 2,C1QL2,Q7Z5L3,C1QL2
15674-3,B-cell antigen receptor complex-associated protein alpha chain,CD79A,P11912,CD79A
15675-3,CCAAT/enhancer-binding protein beta,CEBPB,P17676,CEBPB
15678-71,Dickkopf-related protein 2,DKK2,Q9UBU2,DKK2
15686-49,Inhibin beta C chain,INHBC,P55103,INHBC
15688-30,Protein ERGIC-53,Mannose-binding lectin,P49257,LMAN1
15692-300,Nodal homolog,NODAL,Q96S42,NODAL
15693-9,Progesterone receptor,PgR,P06401,PGR
15698-6,Alpha-taxilin,TXLNA,P40222,TXLNA
16015-19,Alanine aminotransferase 1,ALT,P24298,GPT
16021-30,Cadherin-8,Cadherin-8,P55286,CDH8
16035-8,Vascular endothelial growth factor receptor 3,VEGF sR3,P35916,FLT4
16043-30,SHC-transforming protein 1:Phosphotyrosine Interaction Domain,SHC1:PID,P29353,SHC1
16049-43,Oxidized low-density lipoprotein receptor 1,OLR1,P78380,OLR1
16055-3,Complement factor H-related protein 5,complement factor H-related 5,Q9BXR6,CFHR5
16057-6,Cation-independent mannose-6-phosphate receptor,IGF-II receptor,P11717,IGF2R
16060-99,Nidogen-2,NID2,Q14112,NID2
16070-7,Wnt inhibitory factor 1,WIF-1,Q9Y5W5,WIF1
16074-12,GRB2-related adapter protein 2,GRB2-related adapter protein 2,O75791,GRAP2
16079-2,Tyrosine-protein kinase Tec,TEC,P42680,TEC
16081-38,Aldo-keto reductase family 1 member B10,Aldose reductase-like,O60218,AKR1B10
16288-17,Ephrin type-A receptor 4,EPHA4,P54764,EPHA4
16292-288,Gastric inhibitory polypeptide,GIP,P09681,GIP
16293-1,Somatoliberin,Growth hormone-releasing factor,P01286,GHRH
16296-43,Leucine-rich repeat-containing G-protein coupled receptor 5,LGR5,O75473,LGR5
16297-14,Roundabout homolog 4,ROBO4,Q8WZ75,ROBO4
16298-84,Group IID secretory phospholipase A2,sPLA(2)-IID,Q9UNK4,PLA2G2D
16299-13,T-cell immunoreceptor with Ig and ITIM domains,TIGIT,Q495A1,TIGIT
16300-4,Triggering receptor expressed on myeloid cells 2,TREM2,Q9NZC2,TREM2
16302-11,BPI fold-containing family A member 2,SPLC2,Q96DR5,BPIFA2
16304-6,Leucine-rich repeat-containing G-protein coupled receptor 4,LGR4,Q9BXB1,LGR4
16305-10,Cadherin-11:Extracellular domain,Cadherin-11:ECD,P55287,CDH11
16307-22,Netrin receptor UNC5D,UNC5H4,Q6UXZ4,UNC5D
16308-14,B- and T-lymphocyte attenuator,BTLA,Q7Z6A9,BTLA
16309-30,Dickkopf-like protein 1,Soggy-1,Q9UK85,DKKL1
16312-45,Cadherin-6,Cadherin-6,P55285,CDH6
16315-105,Vascular endothelial growth factor receptor 1,VEGF sR1,P17948,FLT1
16317-20,Desmoglein-3,Desmoglein-3,P32926,DSG3
16318-12,Serine/threonine-protein kinase receptor R3,ALK-1,P37023,ACVRL1
16320-139,CD320 antigen,CD320,Q9NPF0,CD320
16322-10,Marginal zone B- and B1-cell-specific protein,PACAP,Q8WU39,MZB1
16323-8,Neurexin-3,NRX3A,Q9Y4C0,NRXN3
16324-38,Toll-like receptor 1:Extracellular domain,TLR1:ECD,Q15399,TLR1
16536-3,High mobility group protein HMG-I/HMG-Y,HMGA1,P17096,HMGA1
16551-14,Signal transducer and activator of transcription 5B,STA5B,P51692,STAT5B
16558-2,Myocilin,MYOC,Q99972,MYOC
16561-9,Alpha-1B-glycoprotein,Alpha-1B-glycoprotein,P04217,A1BG
16583-8,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],AP4A,P50583,NUDT2
16585-16,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4",B3GN4,Q9C0J1,B3GNT4
16587-1,Beta-casein,Beta-casein,P05814,CSN2
16588-10,78 kDa glucose-regulated protein,BiP,P11021,HSPA5
16591-71,Acidic mammalian chitinase,CHIA,Q9BZP6,CHIA
16593-3,FAS-associated death domain protein,FADD,Q13158,FADD
16594-44,Fas apoptotic inhibitory molecule 1,FAIM1,Q9NVQ4,FAIM
16596-25,Glutaredoxin-3,GLRX3,O76003,GLRX3
16597-11,"Glutaredoxin-related protein 5, mitochondrial",GLRX5,Q86SX6,GLRX5
