Protein,DECODE_exposure,DCODE_seqid,uniprot,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID
ACYP2,ACYP2_12812_25,SeqId.12812-25,P14621,ACYP2,Acylphosphatase-2,ACYP2,SomaScan v4,180,ACYP2,acylphosphatase 2,102595,ENSG00000170634,98
ADAM22,ADAM22_7933_75,SeqId.7933-75,Q9P0K1,ADA22,Disintegrin and metalloproteinase domain-containing protein 22,ADAM22,SomaScan v4,201,ADAM22,ADAM metallopeptidase domain 22,603709,ENSG00000008277,53616
ADAM23,ADAM23_7049_2,SeqId.7049-2,O75077,ADAM 23,Disintegrin and metalloproteinase domain-containing protein 23,ADAM23,SomaScan v4,202,ADAM23,ADAM metallopeptidase domain 23,603710,ENSG00000114948,8745
ADAM9,ADAM9_3795_6,SeqId.3795-6,Q13443,ADAM 9,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,SomaScan v4,216,ADAM9,ADAM metallopeptidase domain 9,602713,ENSG00000168615,8754
ADAMTS13,ADAMTS13_3175_51,SeqId.3175-51,Q76LX8,ATS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAMTS13,SomaScan v4,1366,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,604134,ENSG00000160323,11093
ADAMTS5,ADAMTS5_3168_8,SeqId.3168-8,Q9UNA0,ADAMTS-5,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS5,SomaScan v4,221,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,605007,ENSG00000154736,11096
ADAMTSL1,ADAMTSL1_16890_37,SeqId.16890-37,Q8N6G6,ATL1,ADAMTS-like protein 1,ADAMTSL1,SomaScan v4,14632,ADAMTSL1,ADAMTS like 1,609198,ENSG00000178031,92949
ADAMTSL2,ADAMTSL2_6379_62,SeqId.6379-62,Q86TH1,ATL2,ADAMTS-like protein 2,ADAMTSL2,SomaScan v4,14631,ADAMTSL2,ADAMTS like 2,612277,ENSG00000197859,9719
ADGRF5,ADGRF5_6409_57,SeqId.6409-57,Q8IZF2,GP116,Adhesion G protein-coupled receptor F5,ADGRF5,SomaScan v4,19030,ADGRF5,adhesion G protein-coupled receptor F5,0,ENSG00000069122,221395
ADH1B,ADH1B_9834_62,SeqId.9834-62,P00325,ADH1B,Alcohol dehydrogenase 1B,ADH1B,SomaScan v4,250,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",103720,ENSG00000196616,125
ADH1C,ADH1C_15525_294,SeqId.15525-294,P00326,ADH1G,Alcohol dehydrogenase 1C,ADH1C,SomaScan v4,251,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",103730,ENSG00000248144,126
ADH4,ADH4_8325_37,SeqId.8325-37,P08319,ADH4,Alcohol dehydrogenase 4,ADH4,SomaScan v4,252,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",103740,ENSG00000198099,127
ADH5,ADH5_11369_23,SeqId.11369-23,P11766,ADHX,Alcohol dehydrogenase class-3,ADH5,SomaScan v4,253,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",103710,ENSG00000197894,128
ADH6,ADH6_18206_18,SeqId.18206-18,P28332,ADH6,Alcohol dehydrogenase 6,ADH6,SomaScan v4,255,ADH6,alcohol dehydrogenase 6 (class V),103735,ENSG00000172955,130
ADH7,ADH7_11377_19,SeqId.11377-19,P40394,ADH7,Alcohol dehydrogenase class 4 mu/sigma chain,ADH7,SomaScan v4,256,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",600086,ENSG00000196344,131
ADIPOQ,ADIPOQ_3554_24,SeqId.3554-24,Q15848,Adiponectin,Adiponectin,ADIPOQ,SomaScan v4,13633,ADIPOQ,"adiponectin, C1Q and collagen domain containing",605441,ENSG00000181092,9370
MAGI2,MAGI2_14066_49,SeqId.14066-49,Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",MAGI2,SomaScan v4,18957,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",606382,ENSG00000187391,9863
MAN1A2,MAN1A2_9077_10,SeqId.9077-10,O60476,MA1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MAN1A2,SomaScan v4,6822,MAN1A2,mannosidase alpha class 1A member 2,604345,ENSG00000198162,10905
MAN1C1,MAN1C1_13427_66,SeqId.13427-66,Q9NR34,MA1C1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC",MAN1C1,SomaScan v4,19080,MAN1C1,mannosidase alpha class 1C member 1,616772,ENSG00000117643,57134
MAN2B2,MAN2B2_9251_28,SeqId.9251-28,Q9Y2E5,MA2B2,Epididymis-specific alpha-mannosidase,MAN2B2,SomaScan v4,29623,MAN2B2,mannosidase alpha class 2B member 2,618899,ENSG00000013288,23324
MANBA,MANBA_6382_17,SeqId.6382-17,O00462,MANBA,Beta-mannosidase,MANBA,SomaScan v4,6831,MANBA,mannosidase beta,609489,ENSG00000109323,4126
MANEA,MANEA_8014_359,SeqId.8014-359,Q5SRI9,MANEA,"Glycoprotein endo-alpha-1,2-mannosidase",MANEA,SomaScan v4,21072,MANEA,mannosidase endo-alpha,612327,ENSG00000172469,79694
MANF,MANF_9223_11,SeqId.9223-11,P55145,ARMET,Mesencephalic astrocyte-derived neurotrophic factor,MANF,SomaScan v4,15461,MANF,mesencephalic astrocyte derived neurotrophic factor,601916,ENSG00000145050,7873
MANSC1,MANSC1_9557_5,SeqId.9557-5,Q9H8J5,MANS1,MANSC domain-containing protein 1,MANSC1,SomaScan v4,25505,MANSC1,MANSC domain containing 1,0,ENSG00000111261,54682
MANSC4,MANSC4_9578_263,SeqId.9578-263,A6NHS7,MANS4,MANSC domain-containing protein 4,MANSC4,SomaScan v4,40023,MANSC4,MANSC domain containing 4,0,ENSG00000205693,100287284
MAP1LC3A,MAP1LC3A_17781_191,SeqId.17781-191,Q9H492,MLP3A,Microtubule-associated proteins 1A/1B light chain 3A,MAP1LC3A,SomaScan v4,6838,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,601242,ENSG00000101460,84557
MAP2K1,MAP2K1_2864_2,SeqId.2864-2,Q02750,MEK1,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,SomaScan v4,6840,MAP2K1,mitogen-activated protein kinase kinase 1,176872,ENSG00000169032,5604
MAP2K3,MAP2K3_6151_18,SeqId.6151-18,P46734,MP2K3,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,SomaScan v4,6843,MAP2K3,mitogen-activated protein kinase kinase 3,602315,ENSG00000034152,5606
MAP3K3,MAP3K3_12990_39,SeqId.12990-39,Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,MAP3K3,SomaScan v4,6855,MAP3K3,mitogen-activated protein kinase kinase kinase 3,602539,ENSG00000198909,4215
MAPK12,MAPK12_5005_4,SeqId.5005-4,P53778,MK12,Mitogen-activated protein kinase 12,MAPK12,SomaScan v4,6874,MAPK12,mitogen-activated protein kinase 12,602399,ENSG00000188130,6300
MAPK13,MAPK13_5006_71,SeqId.5006-71,O15264,MK13,Mitogen-activated protein kinase 13,MAPK13,SomaScan v4,6875,MAPK13,mitogen-activated protein kinase 13,602899,ENSG00000156711,5603
MAPK3,MAPK3_2855_49,SeqId.2855-49,P27361,ERK-1,Mitogen-activated protein kinase 3,MAPK3,SomaScan v4,6877,MAPK3,mitogen-activated protein kinase 3,601795,ENSG00000102882,5595
MAPK8,MAPK8_3825_18,SeqId.3825-18,P45983,MK08,Mitogen-activated protein kinase 8,MAPK8,SomaScan v4,6881,MAPK8,mitogen-activated protein kinase 8,601158,ENSG00000107643,5599
MAPK9,MAPK9_15604_18,SeqId.15604-18,P45984,JNK2,Mitogen-activated protein kinase 9,MAPK9,SomaScan v4,6886,MAPK9,mitogen-activated protein kinase 9,602896,ENSG00000050748,5601
MAPKAPK2,MAPKAPK2_3820_68,SeqId.3820-68,P49137,MAPK2,MAP kinase-activated protein kinase 2,MAPKAPK2,SomaScan v4,6887,MAPKAPK2,MAPK activated protein kinase 2,602006,ENSG00000162889,9261
MAPRE2,MAPRE2_16856_79,SeqId.16856-79,Q15555,MARE2,Microtubule-associated protein RP/EB family member 2,MAPRE2,SomaScan v4,6891,MAPRE2,microtubule associated protein RP/EB family member 2,605789,ENSG00000166974,10982
MARK3,MARK3_9747_48,SeqId.9747-48,P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,MARK3,SomaScan v4,6897,MARK3,microtubule affinity regulating kinase 3,602678,ENSG00000075413,4140
MASP1,MASP1_3605_77,SeqId.3605-77,P48740,MASP3,Mannan-binding lectin serine protease 1,MASP1,SomaScan v4,6901,MASP1,MBL associated serine protease 1,600521,ENSG00000127241,5648
MATN3,MATN3_19361_78,SeqId.19361-78,O15232,MATN3,Matrilin-3,MATN3,SomaScan v4,6909,MATN3,matrilin 3,602109,ENSG00000132031,4148
MATN4,MATN4_7083_74,SeqId.7083-74,O95460,MATN4,Matrilin-4,MATN4,SomaScan v4,6910,MATN4,matrilin 4,603897,ENSG00000124159,8785
MAX,MAX_12411_60,SeqId.12411-60,P61244,MAX,Protein max,MAX,SomaScan v4,6913,MAX,MYC associated factor X,154950,ENSG00000125952,4149
MBL2,MBL2_3000_66,SeqId.3000-66,P11226,MBL,Mannose-binding protein C,MBL2,SomaScan v4,6922,MBL2,mannose binding lectin 2,154545,ENSG00000165471,4153
MCEE,MCEE_9388_18,SeqId.9388-18,Q96PE7,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",MCEE,SomaScan v4,16732,MCEE,methylmalonyl-CoA epimerase,608419,ENSG00000124370,84693
MCEMP1,MCEMP1_6283_60,SeqId.6283-60,Q8IX19,MCEM1,Mast cell-expressed membrane protein 1,MCEMP1,SomaScan v4,27291,MCEMP1,mast cell expressed membrane protein 1,609565,ENSG00000183019,199675
MCF2L,MCF2L_13934_3,SeqId.13934-3,O15068,MCF2L,Guanine nucleotide exchange factor DBS,MCF2L,SomaScan v4,14576,MCF2L,MCF.2 cell line derived transforming sequence like,609499,ENSG00000126217,23263
MCL1,MCL1_10396_6,SeqId.10396-6,Q07820,Mcl-1,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,SomaScan v4,6943,MCL1,"MCL1 apoptosis regulator, BCL2 family member",159552,ENSG00000143384,4170
MDGA1,MDGA1_16900_29,SeqId.16900-29,Q8NFP4,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,MDGA1,SomaScan v4,19267,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,609626,ENSG00000112139,266727
MDH1,MDH1_3853_56,SeqId.3853-56,P40925,MDHC,"Malate dehydrogenase, cytoplasmic",MDH1,SomaScan v4,6970,MDH1,malate dehydrogenase 1,154200,ENSG00000014641,4190
MDK,MDK_2911_27,SeqId.2911-27,P21741,Midkine,Midkine,MDK,SomaScan v4,6972,MDK,midkine,162096,ENSG00000110492,4192
METTL24,METTL24_9470_15,SeqId.9470-15,Q5JXM2,MET24,Methyltransferase-like protein 24,METTL24,SomaScan v4,21566,METTL24,methyltransferase like 24,0,ENSG00000053328,728464
MFAP2,MFAP2_9294_45,SeqId.9294-45,P55001,MFAP2,Microfibrillar-associated protein 2,MFAP2,SomaScan v4,7033,MFAP2,microfibril associated protein 2,156790,ENSG00000117122,4237
IFNL3,IFNL3_5713_9,SeqId.5713-9,Q8IZI9,IFN-lambda 3,Interferon lambda-3,IFNL3,SomaScan v4,18365,IFNL3,interferon lambda 3,607402,ENSG00000197110,282617
IFNLR1,IFNLR1_7192_37,SeqId.7192-37,Q8IU57,CRF2-12,Interferon lambda receptor 1,IFNLR1,SomaScan v4,18584,IFNLR1,interferon lambda receptor 1,607404,ENSG00000185436,163702
IGDCC4,IGDCC4_9793_145,SeqId.9793-145,Q8TDY8,IGDC4,Immunoglobulin superfamily DCC subclass member 4,IGDCC4,SomaScan v4,13770,IGDCC4,immunoglobulin superfamily DCC subclass member 4,616810,ENSG00000103742,57722
IGF1R,IGF1R_4232_19,SeqId.4232-19,P08069,IGF-I sR,Insulin-like growth factor 1 receptor,IGF1R,SomaScan v4,5465,IGF1R,insulin like growth factor 1 receptor,147370,ENSG00000140443,3480
IGF2R,IGF2R_16057_6,SeqId.16057-6,P11717,IGF-II receptor,Cation-independent mannose-6-phosphate receptor,IGF2R,SomaScan v4,5467,IGF2R,insulin like growth factor 2 receptor,147280,ENSG00000197081,3482
IGFALS,IGFALS_6605_17,SeqId.6605-17,P35858,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,SomaScan v4,5468,IGFALS,insulin like growth factor binding protein acid labile subunit,601489,ENSG00000099769,3483
IGFBP1,IGFBP1_2771_35,SeqId.2771-35,P08833,IGFBP-1,Insulin-like growth factor-binding protein 1,IGFBP1,SomaScan v4,5469,IGFBP1,insulin like growth factor binding protein 1,146730,ENSG00000146678,3484
IGFBP2,IGFBP2_8469_41,SeqId.8469-41,P18065,IGFBP-2,Insulin-like growth factor-binding protein 2,IGFBP2,SomaScan v4,5471,IGFBP2,insulin like growth factor binding protein 2,146731,ENSG00000115457,3485
IGFBP3,IGFBP3_2571_12,SeqId.2571-12,P17936,IGFBP-3,Insulin-like growth factor-binding protein 3,IGFBP3,SomaScan v4,5472,IGFBP3,insulin like growth factor binding protein 3,146732,ENSG00000146674,3486
IGFBP4,IGFBP4_2950_57,SeqId.2950-57,P22692,IGFBP-4,Insulin-like growth factor-binding protein 4,IGFBP4,SomaScan v4,5473,IGFBP4,insulin like growth factor binding protein 4,146733,ENSG00000141753,3487
IGFBP5,IGFBP5_19581_15,SeqId.19581-15,P24593,IGFBP-5,Insulin-like growth factor-binding protein 5,IGFBP5,SomaScan v4,5474,IGFBP5,insulin like growth factor binding protein 5,146734,ENSG00000115461,3488
IGFLR1,IGFLR1_7244_16,SeqId.7244-16,Q9H665,TM149,IGF-like family receptor 1,IGFLR1,SomaScan v4,23620,IGFLR1,IGF like family receptor 1,614143,ENSG00000126246,79713
IGLL1,IGLL1_6485_59,SeqId.6485-59,P15814,IGLL1,Immunoglobulin lambda-like polypeptide 1,IGLL1,SomaScan v4,5870,IGLL1,immunoglobulin lambda like polypeptide 1,146770,ENSG00000128322,3543
IGLON5,IGLON5_6478_2,SeqId.6478-2,A6NGN9,IGLO5,IgLON family member 5,IGLON5,SomaScan v4,34550,IGLON5,IgLON family member 5,618861,ENSG00000142549,402665
IGSF3,IGSF3_9715_15,SeqId.9715-15,O75054,IGSF3,Immunoglobulin superfamily member 3,IGSF3,SomaScan v4,5950,IGSF3,immunoglobulin superfamily member 3,603491,ENSG00000143061,3321
IGSF8,IGSF8_6984_6,SeqId.6984-6,Q969P0,IGSF8,Immunoglobulin superfamily member 8,IGSF8,SomaScan v4,17813,IGSF8,immunoglobulin superfamily member 8,606644,ENSG00000162729,93185
IHH,IHH_19606_28,SeqId.19606-28,Q14623,ihh,Indian hedgehog protein,IHH,SomaScan v4,5956,IHH,Indian hedgehog signaling molecule,600726,ENSG00000163501,3549
IL10RB,IL10RB_2631_50,SeqId.2631-50,Q08334,IL-10 Rb,Interleukin-10 receptor subunit beta,IL10RB,SomaScan v4,5965,IL10RB,interleukin 10 receptor subunit beta,123889,ENSG00000243646,3588
IL11RA,IL11RA_18216_22,SeqId.18216-22,Q14626,IL-11 RA,Interleukin-11 receptor subunit alpha,IL11RA,SomaScan v4,5967,IL11RA,interleukin 11 receptor subunit alpha,600939,ENSG00000137070,3590
IL12RB1,IL12RB1_2632_5,SeqId.2632-5,P42701,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,IL12RB1,SomaScan v4,5971,IL12RB1,interleukin 12 receptor subunit beta 1,601604,ENSG00000096996,3594
IL15RA,IL15RA_14054_17,SeqId.14054-17,Q13261,IL-15 Ra,Interleukin-15 receptor subunit alpha,IL15RA,SomaScan v4,5978,IL15RA,interleukin 15 receptor subunit alpha,601070,ENSG00000134470,3601
IL15RA,IL15RA_3445_53,SeqId.3445-53,Q13261,IL-15 Ra,Interleukin-15 receptor subunit alpha,IL15RA,SomaScan v4,5978,IL15RA,interleukin 15 receptor subunit alpha,601070,ENSG00000134470,3601
IL17B,IL17B_3499_77,SeqId.3499-77,Q9UHF5,IL-17B,Interleukin-17B,IL17B,SomaScan v4,5982,IL17B,interleukin 17B,604627,ENSG00000127743,27190
IL17RA,IL17RA_2992_59,SeqId.2992-59,Q96F46,IL-17 sR,Interleukin-17 receptor A,IL17RA,SomaScan v4,5985,IL17RA,interleukin 17 receptor A,605461,ENSG00000177663,23765
IL17RD,IL17RD_3376_49,SeqId.3376-49,Q8NFM7,IL-17 RD,Interleukin-17 receptor D,IL17RD,SomaScan v4,17616,IL17RD,interleukin 17 receptor D,606807,ENSG00000144730,54756
IL18R1,IL18R1_14079_14,SeqId.14079-14,Q13478,IL-18 Ra,Interleukin-18 receptor 1,IL18R1,SomaScan v4,5988,IL18R1,interleukin 18 receptor 1,604494,ENSG00000115604,8809
IL1R1,IL1R1_2991_9,SeqId.2991-9,P14778,IL-1 sRI,Interleukin-1 receptor type 1,IL1R1,SomaScan v4,5993,IL1R1,interleukin 1 receptor type 1,147810,ENSG00000115594,3554
IL1R2,IL1R2_14133_93,SeqId.14133-93,P27930,IL-1 sRII,Interleukin-1 receptor type 2,IL1R2,SomaScan v4,5994,IL1R2,interleukin 1 receptor type 2,147811,ENSG00000115590,7850
IL1RAP,IL1RAP_14048_7,SeqId.14048-7,Q9NPH3,IL-1 R AcP,Interleukin-1 Receptor accessory protein,IL1RAP,SomaScan v4,5995,IL1RAP,interleukin 1 receptor accessory protein,602626,ENSG00000196083,3556
IL1RL1,IL1RL1_4234_8,SeqId.4234-8,Q01638,IL-1 R4,Interleukin-1 receptor-like 1,IL1RL1,SomaScan v4,5998,IL1RL1,interleukin 1 receptor like 1,601203,ENSG00000115602,9173
IL1RL2,IL1RL2_2994_71,SeqId.2994-71,Q9HB29,IL-1Rrp2,Interleukin-1 receptor-like 2,IL1RL2,SomaScan v4,5999,IL1RL2,interleukin 1 receptor like 2,604512,ENSG00000115598,8808
IL1RN,IL1RN_5353_89,SeqId.5353-89,P18510,IL-1Ra,Interleukin-1 receptor antagonist protein,IL1RN,SomaScan v4,6000,IL1RN,interleukin 1 receptor antagonist,147679,ENSG00000136689,3557
IL20RA,IL20RA_5085_18,SeqId.5085-18,Q9UHF4,IL-20 Ra,Interleukin-20 receptor subunit alpha,IL20RA,SomaScan v4,6003,IL20RA,interleukin 20 receptor subunit alpha,605620,ENSG00000016402,53832
IL22,IL22_2778_10,SeqId.2778-10,Q9GZX6,IL-22,Interleukin-22,IL22,SomaScan v4,14900,IL22,interleukin 22,605330,ENSG00000127318,50616
IL22RA2,IL22RA2_5087_5,SeqId.5087-5,Q969J5,IL-22BP,Interleukin-22 receptor subunit alpha-2,IL22RA2,SomaScan v4,14901,IL22RA2,interleukin 22 receptor subunit alpha 2,606648,ENSG00000164485,116379
IL27RA,IL27RA_5132_71,SeqId.5132-71,Q6UWB1,TCCR,Interleukin-27 receptor subunit alpha,IL27RA,SomaScan v4,17290,IL27RA,interleukin 27 receptor subunit alpha,605350,ENSG00000104998,9466
IL2RA,IL2RA_3151_6,SeqId.3151-6,P01589,IL-2 sRa,Interleukin-2 receptor subunit alpha,IL2RA,SomaScan v4,6008,IL2RA,interleukin 2 receptor subunit alpha,147730,ENSG00000134460,3559
IL2RB,IL2RB_9343_16,SeqId.9343-16,P14784,IL-2 sRb,Interleukin-2 receptor subunit beta,IL2RB,SomaScan v4,6009,IL2RB,interleukin 2 receptor subunit beta,146710,ENSG00000100385,3560
GOLM1,GOLM1_17456_53,SeqId.17456-53,Q8NBJ4,GOLM1,Golgi membrane protein 1,GOLM1,SomaScan v4,15451,GOLM1,golgi membrane protein 1,606804,ENSG00000135052,51280
GOLM1,GOLM1_8983_7,SeqId.8983-7,Q8NBJ4,GOLM1,Golgi membrane protein 1,GOLM1,SomaScan v4,15451,GOLM1,golgi membrane protein 1,606804,ENSG00000135052,51280
GP1BA,GP1BA_4990_87,SeqId.4990-87,P07359,GP1BA,Platelet glycoprotein Ib alpha chain,GP1BA,SomaScan v4,4439,GP1BA,glycoprotein Ib platelet subunit alpha,606672,ENSG00000185245,2811
GP5,GP5_7185_29,SeqId.7185-29,P40197,GPV,Platelet glycoprotein V,GP5,SomaScan v4,4443,GP5,glycoprotein V platelet,173511,ENSG00000178732,2814
GPC1,GPC1_8697_38,SeqId.8697-38,P35052,Glypican 1,Glypican-1,GPC1,SomaScan v4,4449,GPC1,glypican 1,600395,ENSG00000063660,2817
GPC6,GPC6_5350_14,SeqId.5350-14,Q9Y625,GPC6,Glypican-6,GPC6,SomaScan v4,4454,GPC6,glypican 6,604404,ENSG00000183098,10082
GPCPD1,GPCPD1_12786_61,SeqId.12786-61,Q9NPB8,GDE5,Glycerophosphocholine phosphodiesterase GPCPD1,GPCPD1,SomaScan v4,26957,GPCPD1,glycerophosphocholine phosphodiesterase 1,614124,ENSG00000125772,56261
GPN1,GPN1_16599_38,SeqId.16599-38,Q9HCN4,GPN1,GPN-loop GTPase 1,GPN1,SomaScan v4,17030,GPN1,GPN-loop GTPase 1,611479,ENSG00000198522,11321
GPNMB,GPNMB_8289_8,SeqId.8289-8,Q14956,GPNMB,Transmembrane glycoprotein NMB,GPNMB,SomaScan v4,4462,GPNMB,glycoprotein nmb,604368,ENSG00000136235,10457
GPNMB,GPNMB_8606_39,SeqId.8606-39,Q14956,GPNMB,Transmembrane glycoprotein NMB,GPNMB,SomaScan v4,4462,GPNMB,glycoprotein nmb,604368,ENSG00000136235,10457
GPT,GPT_16015_19,SeqId.16015-19,P24298,ALT,Alanine aminotransferase 1,GPT,SomaScan v4,4552,GPT,glutamic--pyruvic transaminase,138200,ENSG00000167701,2875
GPX7,GPX7_8345_27,SeqId.8345-27,Q96SL4,GPX7,Glutathione peroxidase 7,GPX7,SomaScan v4,4559,GPX7,glutathione peroxidase 7,615784,ENSG00000116157,2882
GRAMD1C,GRAMD1C_8336_267,SeqId.8336-267,Q8IYS0,GRM1C,GRAM domain-containing protein 1C,GRAMD1C,SomaScan v4,25252,GRAMD1C,GRAM domain containing 1C,620180,ENSG00000178075,54762
GRAMD1C,GRAMD1C_8842_16,SeqId.8842-16,Q8IYS0,GRM1C,GRAM domain-containing protein 1C,GRAMD1C,SomaScan v4,25252,GRAMD1C,GRAM domain containing 1C,620180,ENSG00000178075,54762
GRAP2,GRAP2_16074_12,SeqId.16074-12,O75791,GRB2-related adapter protein 2,GRB2-related adapter protein 2,GRAP2,SomaScan v4,4563,GRAP2,GRB2 related adaptor protein 2,604518,ENSG00000100351,9402
GREM1,GREM1_18878_15,SeqId.18878-15,O60565,GREM1,Gremlin-1,GREM1,SomaScan v4,2001,GREM1,"gremlin 1, DAN family BMP antagonist",603054,ENSG00000166923,26585
GREM2,GREM2_5598_3,SeqId.5598-3,Q9H772,GREM2,Gremlin-2,GREM2,SomaScan v4,17655,GREM2,"gremlin 2, DAN family BMP antagonist",608832,ENSG00000180875,64388
GRHPR,GRHPR_18295_102,SeqId.18295-102,Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,GRHPR,SomaScan v4,4570,GRHPR,glyoxylate and hydroxypyruvate reductase,604296,ENSG00000137106,9380
GSN,GSN_16607_78,SeqId.16607-78,P06396,Gelsolin,Gelsolin,GSN,SomaScan v4,4620,GSN,gelsolin,137350,ENSG00000148180,2934
GSR,GSR_19273_3,SeqId.19273-3,P00390,Glutathione reductase,"Glutathione reductase, mitochondrial",GSR,SomaScan v4,4623,GSR,glutathione-disulfide reductase,138300,ENSG00000104687,2936
GSS,GSS_15526_33,SeqId.15526-33,P48637,GSHB,Glutathione synthetase,GSS,SomaScan v4,4624,GSS,glutathione synthetase,601002,ENSG00000100983,2937
GSTA1,GSTA1_17138_8,SeqId.17138-8,P08263,GST A1-1,Glutathione S-transferase A1,GSTA1,SomaScan v4,4626,GSTA1,glutathione S-transferase alpha 1,138359,ENSG00000243955,2938
GSTM1,GSTM1_15395_15,SeqId.15395-15,P09488,GST M1-1,Glutathione S-transferase Mu 1,GSTM1,SomaScan v4,4632,GSTM1,glutathione S-transferase mu 1,138350,ENSG00000134184,2944
GSTM3,GSTM3_9748_31,SeqId.9748-31,P21266,GSTM3-3,Glutathione S-transferase Mu 3,GSTM3,SomaScan v4,4635,GSTM3,glutathione S-transferase mu 3,138390,ENSG00000134202,2947
GSTM4,GSTM4_18895_54,SeqId.18895-54,Q03013,GSTM4,Glutathione S-transferase Mu 4,GSTM4,SomaScan v4,4636,GSTM4,glutathione S-transferase mu 4,138333,ENSG00000168765,2948
GSTO1,GSTO1_12436_84,SeqId.12436-84,P78417,GST omega-1,Glutathione S-transferase omega-1,GSTO1,SomaScan v4,13312,GSTO1,glutathione S-transferase omega 1,605482,ENSG00000148834,9446
GSTP1,GSTP1_4911_49,SeqId.4911-49,P09211,Glutathione S-transferase Pi,Glutathione S-transferase P,GSTP1,SomaScan v4,4638,GSTP1,glutathione S-transferase pi 1,134660,ENSG00000084207,2950
GSTT2B,GSTT2B_11273_176,SeqId.11273-176,P0CG30,GSTT2,Glutathione S-transferase theta-2B,GSTT2B,SomaScan v4,33437,GSTT2B,glutathione S-transferase theta 2B,0,ENSG00000133433,653689
GSTZ1,GSTZ1_16872_248,SeqId.16872-248,O43708,MAAI,Maleylacetoacetate isomerase,GSTZ1,SomaScan v4,4643,GSTZ1,glutathione S-transferase zeta 1,603758,ENSG00000100577,2954
GUCA2B,GUCA2B_6223_5,SeqId.6223-5,Q16661,GUC2B,Guanylate cyclase activator 2B,GUCA2B,SomaScan v4,4683,GUCA2B,guanylate cyclase activator 2B,601271,ENSG00000044012,2981
GUK1,GUK1_17325_10,SeqId.17325-10,Q16774,KGUA,Guanylate kinase,GUK1,SomaScan v4,4693,GUK1,guanylate kinase 1,139270,ENSG00000143774,2987
GXYLT1,GXYLT1_8229_1,SeqId.8229-1,Q4G148,GXLT1,Glucoside xylosyltransferase 1,GXYLT1,SomaScan v4,27482,GXYLT1,glucoside xylosyltransferase 1,613321,ENSG00000151233,283464
GZMA,GZMA_3440_7,SeqId.3440-7,P12544,granzyme A,Granzyme A,GZMA,SomaScan v4,4708,GZMA,granzyme A,140050,ENSG00000145649,3001
GZMB,GZMB_4133_54,SeqId.4133-54,P10144,Granzyme B,Granzyme B,GZMB,SomaScan v4,4709,GZMB,granzyme B,123910,ENSG00000100453,3002
GZMK,GZMK_9545_156,SeqId.9545-156,P49863,Granzyme K,Granzyme K,GZMK,SomaScan v4,4711,GZMK,granzyme K,600784,ENSG00000113088,3003
GZMM,GZMM_5704_74,SeqId.5704-74,P51124,Granzyme M,Granzyme M,GZMM,SomaScan v4,4712,GZMM,granzyme M,600311,ENSG00000197540,3004
H6PD,H6PD_7161_25,SeqId.7161-25,O95479,G6PE,GDH/6PGL endoplasmic bifunctional protein,H6PD,SomaScan v4,4795,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,138090,ENSG00000049239,9563
HABP4,HABP4_10815_2,SeqId.10815-2,Q5JVS0,HABP4,Intracellular hyaluronan-binding protein 4,HABP4,SomaScan v4,17062,HABP4,hyaluronan binding protein 4,617369,ENSG00000130956,22927
HADH,HADH_17739_1,SeqId.17739-1,Q16836,HCDH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",HADH,SomaScan v4,4799,HADH,hydroxyacyl-CoA dehydrogenase,601609,ENSG00000138796,3033
