Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
DYNC1H1,DYNC1H1:Q14204:Oncology_II,Q14204,2961,DYNC1H1,600112,ENSG00000197102,1778,OID31341,Cytoplasmic dynein 1 heavy chain 1,Olink Explore,Oncology_v1
DNM1,DNM1:Q05193:Oncology_II,Q05193,2972,DNM1,602377,ENSG00000106976,1759,OID31458,Dynamin-1,Olink Explore,Oncology_v1
TRDMT1,TRDMT1:O14717:Oncology_II,O14717,2977,TRDMT1,602478,ENSG00000107614,1787,OID31335,tRNA (cytosine(38)-C(5))-methyltransferase,Olink Explore,Oncology_v1
DNPEP,DNPEP:Q9ULA0:Neurology_II,Q9ULA0,2981,DNPEP,611367,ENSG00000123992,23549,OID31118,Aspartyl aminopeptidase,Olink Explore,Neurology_v1
DOC2B,DOC2B:Q14184:Neurology_II,Q14184,2986,DOC2B,604568,ENSG00000272636,8447,OID30927,Double C2-like domain-containing protein beta,Olink Explore,Neurology_v1
DOK1,DOK1:Q99704:Neurology_II,Q99704,2990,DOK1,602919,ENSG00000115325,1796,OID31111,Docking protein 1,Olink Explore,Neurology_v1
DOK2,DOK2:O60496:Cardiometabolic,O60496,2991,DOK2,604997,ENSG00000147443,9046,OID20138,Docking protein 2,Olink Explore,Cardiometabolic_v1
DXO,DXO:O77932:Neurology_II,O77932,2992,DXO,605996,ENSG00000204348,1797,OID31080,Decapping and exoribonuclease protein,Olink Explore,Neurology_v1
DPEP1,DPEP1:P16444:Neurology,P16444,3002,DPEP1,179780,ENSG00000015413,1800,OID20897,Dipeptidase 1,Olink Explore,Neurology_v1
DPP4,DPP4:P27487:Cardiometabolic,P27487,3009,DPP4,102720,ENSG00000197635,1803,OID20406,Dipeptidyl peptidase 4,Olink Explore,Cardiometabolic_v1
DPP6,DPP6:P42658:Oncology,P42658,3010,DPP6,126141,ENSG00000130226,1804,OID21354,Dipeptidyl aminopeptidase-like protein 6,Olink Explore,Oncology_v1
DPT,DPT:Q07507:Cardiometabolic,Q07507,3011,DPT,125597,ENSG00000143196,1805,OID20278,Dermatopontin,Olink Explore,Cardiometabolic_v1
DRG2,DRG2:P55039:Oncology,P55039,3030,DRG2,602986,ENSG00000108591,1819,OID21335,Developmentally-regulated GTP-binding protein 2,Olink Explore,Oncology_v1
ARID3A,ARID3A:Q99856:Neurology_II,Q99856,3031,ARID3A,603265,ENSG00000116017,1820,OID30861,AT-rich interactive domain-containing protein 3A,Olink Explore,Neurology_v1
DSC2,DSC2:Q02487:Neurology,Q02487,3036,DSC2,125645,ENSG00000134755,1824,OID21079,Desmocollin-2,Olink Explore,Neurology_v1
DSCAM,DSCAM:O60469:Neurology_II,O60469,3039,DSCAM,602523,ENSG00000171587,1826,OID30993,Down syndrome cell adhesion molecule,Olink Explore,Neurology_v1
DSG2,DSG2:Q14126:Neurology,Q14126,3049,DSG2,125671,ENSG00000046604,1829,OID21113,Desmoglein-2,Olink Explore,Neurology_v1
DSG3,DSG3:P32926:Oncology,P32926,3050,DSG3,169615,ENSG00000134757,1830,OID21460,Desmoglein-3,Olink Explore,Oncology_v1
DTNB,DTNB:O60941:Oncology_II,O60941,3058,DTNB,602415,ENSG00000138101,1838,OID31395,Dystrobrevin beta,Olink Explore,Oncology_v1
HBEGF,HBEGF:Q99075:Oncology,Q99075,3059,HBEGF,126150,ENSG00000113070,1839,OID21465,Proheparin-binding EGF-like growth factor,Olink Explore,Oncology_v1
DTYMK,DTYMK:P23919:Cardiometabolic_II,P23919,3061,DTYMK,188345,ENSG00000168393,1841,OID30308,Thymidylate kinase,Olink Explore,Cardiometabolic_v1
DUSP3,DUSP3:P51452:Neurology,P51452,3069,DUSP3,600183,ENSG00000108861,1845,OID20827,Dual specificity protein phosphatase 3,Olink Explore,Neurology_v1
DUT,DUT:P33316:Oncology_II,P33316,3078,DUT,601266,ENSG00000128951,1854,OID31457,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",Olink Explore,Oncology_v1
LEFTY2,LEFTY2:O00292:Oncology,O00292,3122,LEFTY2,601877,ENSG00000143768,7044,OID21454,Left-right determination factor 2,Olink Explore,Oncology_v1
EBAG9,EBAG9:O00559:Neurology,O00559,3123,EBAG9,605772,ENSG00000147654,9166,OID20918,Receptor-binding cancer antigen expressed on SiSo cells,Olink Explore,Neurology_v1
ECE1,ECE1:P42892:Neurology,P42892,3146,ECE1,600423,ENSG00000117298,1889,OID20891,Endothelin-converting enzyme 1,Olink Explore,Neurology_v1
TYMP,TYMP:P19971:Cardiometabolic,P19971,3148,TYMP,131222,ENSG00000025708,1890,OID20234,Thymidine phosphorylase,Olink Explore,Cardiometabolic_v1
ECHS1,ECHS1:P30084:Cardiometabolic_II,P30084,3151,ECHS1,602292,ENSG00000127884,1892,OID30239,"Enoyl-CoA hydratase, mitochondrial",Olink Explore,Cardiometabolic_v1
ECM1,ECM1:Q16610:Inflammation_II,Q16610,3153,ECM1,602201,ENSG00000143369,1893,OID30736,Extracellular matrix protein 1,Olink Explore,Inflammation_v1
EDF1,EDF1:O60869:Neurology_II,O60869,3164,EDF1,605107,ENSG00000107223,8721,OID31010,Endothelial differentiation-related factor 1,Olink Explore,Neurology_v1
EDIL3,EDIL3:O43854:Cardiometabolic,O43854,3173,EDIL3,606018,ENSG00000164176,10085,OID20081,EGF-like repeat and discoidin I-like domain-containing protein 3,Olink Explore,Cardiometabolic_v1
EDN1,EDN1:P05305:Cardiometabolic_II,P05305,3176,EDN1,131240,ENSG00000078401,1906,OID30224,Endothelin-1,Olink Explore,Cardiometabolic_v1
EDNRB,EDNRB:P24530:Inflammation_II,P24530,3180,EDNRB,131244,ENSG00000136160,1910,OID30421,Endothelin receptor type B,Olink Explore,Inflammation_v1
EEF1D,EEF1D:P29692:Cardiometabolic_II,P29692,3211,EEF1D,130592,ENSG00000104529,1936,OID30335,Elongation factor 1-delta,Olink Explore,Cardiometabolic_v1
EFEMP1,EFEMP1:Q12805:Cardiometabolic,Q12805,3218,EFEMP1,601548,ENSG00000115380,2202,OID20414,EGF-containing fibulin-like extracellular matrix protein 1,Olink Explore,Cardiometabolic_v1
EFNA1,EFNA1:P20827:Neurology,P20827,3221,EFNA1,191164,ENSG00000169242,1942,OID21125,Ephrin-A1,Olink Explore,Neurology_v1
EFNA4,EFNA4:P52798:Neurology,P52798,3224,EFNA4,601380,ENSG00000243364,1945,OID20935,Ephrin-A4,Olink Explore,Neurology_v1
EFNB2,EFNB2:P52799:Neurology_II,P52799,3227,EFNB2,600527,ENSG00000125266,1948,OID30954,Ephrin-B2,Olink Explore,Neurology_v1
EGF,EGF:P01133:Inflammation,P01133,3229,EGF,131530,ENSG00000138798,1950,OID20698,Pro-epidermal growth factor,Olink Explore,Inflammation_v1
CELSR2,CELSR2:Q9HCU4:Inflammation_II,Q9HCU4,3231,CELSR2,604265,ENSG00000143126,1952,OID30593,Cadherin EGF LAG seven-pass G-type receptor 2,Olink Explore,Inflammation_v1
MEGF9,MEGF9:Q9H1U4:Cardiometabolic,Q9H1U4,3234,MEGF9,604268,ENSG00000106780,1955,OID20285,Multiple epidermal growth factor-like domains protein 9,Olink Explore,Cardiometabolic_v1
EGFR,EGFR:P00533:Cardiometabolic,P00533,3236,EGFR,131550,ENSG00000146648,1956,OID20319,Epidermal growth factor receptor,Olink Explore,Cardiometabolic_v1
EHD3,EHD3:Q9NZN3:Cardiometabolic_II,Q9NZN3,3244,EHD3,605891,ENSG00000013016,30845,OID30229,EH domain-containing protein 3,Olink Explore,Cardiometabolic_v1
EIF2AK3,EIF2AK3:Q9NZJ5:Cardiometabolic_II,Q9NZJ5,3255,EIF2AK3,604032,ENSG00000172071,9451,OID30060,Eukaryotic translation initiation factor 2-alpha kinase 3,Olink Explore,Cardiometabolic_v1
EIF2S2,EIF2S2:P20042:Cardiometabolic_II,P20042,3266,EIF2S2,603908,ENSG00000125977,8894,OID30270,Eukaryotic translation initiation factor 2 subunit 2,Olink Explore,Cardiometabolic_v1
EIF4B,EIF4B:P23588:Neurology,P23588,3285,EIF4B,603928,ENSG00000063046,1975,OID21000,Eukaryotic translation initiation factor 4B,Olink Explore,Neurology_v1
EIF4E,EIF4E:P06730:Inflammation_II,P06730,3287,EIF4E,133440,ENSG00000151247,1977,OID30557,Eukaryotic translation initiation factor 4E,Olink Explore,Inflammation_v1
EIF4EBP1,EIF4EBP1:Q13541:Cardiometabolic,Q13541,3288,EIF4EBP1,602223,ENSG00000187840,1978,OID20162,Eukaryotic translation initiation factor 4E-binding protein 1,Olink Explore,Cardiometabolic_v1
EIF4G1,EIF4G1:Q04637:Inflammation,Q04637,3296,EIF4G1,600495,ENSG00000114867,1981,OID20625,Eukaryotic translation initiation factor 4 gamma 1,Olink Explore,Inflammation_v1
EIF4G3,EIF4G3:O43432:Neurology_II,O43432,3298,EIF4G3,603929,ENSG00000075151,8672,OID31022,Eukaryotic translation initiation factor 4 gamma 3,Olink Explore,Neurology_v1
EIF5,EIF5:P55010:Cardiometabolic_II,P55010,3299,EIF5,601710,ENSG00000100664,1983,OID30156,Eukaryotic translation initiation factor 5,Olink Explore,Cardiometabolic_v1
SERPINB1,SERPINB1:P30740:Neurology,P30740,3311,SERPINB1,130135,ENSG00000021355,1992,OID21088,Leukocyte elastase inhibitor,Olink Explore,Neurology_v1
ELN,ELN:P15502:Cardiometabolic_II,P15502,3327,ELN,130160,ENSG00000049540,2006,OID30301,Elastin,Olink Explore,Cardiometabolic_v1
ADGRE1,ADGRE1:Q14246:Oncology_II,Q14246,3336,ADGRE1,600493,ENSG00000174837,2015,OID31483,Adhesion G protein-coupled receptor E1,Olink Explore,Oncology_v1
ADGRE2,ADGRE2:Q9UHX3:Inflammation,Q9UHX3,3337,ADGRE2,606100,ENSG00000127507,30817,OID20755,Adhesion G protein-coupled receptor E2,Olink Explore,Inflammation_v1
ENG,ENG:P17813:Cardiometabolic,P17813,3349,ENG,131195,ENSG00000106991,2022,OID20287,Endoglin,Olink Explore,Cardiometabolic_v1
ENO1,ENO1:P06733:Neurology,P06733,3350,ENO1,172430,ENSG00000074800,2023,OID21037,Alpha-enolase,Olink Explore,Neurology_v1
ENO2,ENO2:P09104:Neurology,P09104,3353,ENO2,131360,ENSG00000111674,2026,OID21046,Gamma-enolase,Olink Explore,Neurology_v1
ENO3,ENO3:P13929:Cardiometabolic_II,P13929,3354,ENO3,131370,ENSG00000108515,2027,OID30209,Beta-enolase,Olink Explore,Cardiometabolic_v1
ENPEP,ENPEP:Q07075:Cardiometabolic_II,Q07075,3355,ENPEP,138297,ENSG00000138792,2028,OID30135,Glutamyl aminopeptidase,Olink Explore,Cardiometabolic_v1
ENPP2,ENPP2:Q13822:Cardiometabolic,Q13822,3357,ENPP2,601060,ENSG00000136960,5168,OID20288,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Olink Explore,Cardiometabolic_v1
ENSA,ENSA:O43768:Oncology_II,O43768,3360,ENSA,603061,ENSG00000143420,2029,OID31355,Alpha-endosulfine,Olink Explore,Oncology_v1
ENTPD2,ENTPD2:Q9Y5L3:Oncology,Q9Y5L3,3364,ENTPD2,602012,ENSG00000054179,954,OID21260,Ectonucleoside triphosphate diphosphohydrolase 2,Olink Explore,Oncology_v1
ENTPD5,ENTPD5:O75356:Cardiometabolic,O75356,3367,ENTPD5,603162,ENSG00000187097,957,OID20104,Ectonucleoside triphosphate diphosphohydrolase 5,Olink Explore,Cardiometabolic_v1
ENTPD6,ENTPD6:O75354:Cardiometabolic,O75354,3368,ENTPD6,603160,ENSG00000197586,955,OID20100,Ectonucleoside triphosphate diphosphohydrolase 6,Olink Explore,Cardiometabolic_v1
EPHA1,EPHA1:P21709:Inflammation,P21709,3385,EPHA1,179610,ENSG00000146904,2041,OID20677,Ephrin type-A receptor 1,Olink Explore,Inflammation_v1
EPHA2,EPHA2:P29317:Oncology,P29317,3386,EPHA2,176946,ENSG00000142627,1969,OID21342,Ephrin type-A receptor 2,Olink Explore,Oncology_v1
EPHA4,EPHA4:P54764:Inflammation_II,P54764,3388,EPHA4,602188,ENSG00000116106,2043,OID30622,Ephrin type-A receptor 4,Olink Explore,Inflammation_v1
EPHB4,EPHB4:P54760:Cardiometabolic,P54760,3395,EPHB4,600011,ENSG00000196411,2050,OID20242,Ephrin type-B receptor 4,Olink Explore,Cardiometabolic_v1
EPHB6,EPHB6:O15197:Neurology,O15197,3396,EPHB6,602757,ENSG00000106123,2051,OID20982,Ephrin type-B receptor 6,Olink Explore,Neurology_v1
EPHX2,EPHX2:P34913:Cardiometabolic,P34913,3402,EPHX2,132811,ENSG00000120915,2053,OID20119,Bifunctional epoxide hydrolase 2,Olink Explore,Cardiometabolic_v1
EPO,EPO:P01588:Inflammation,P01588,3415,EPO,133170,ENSG00000130427,2056,OID20522,Erythropoietin,Olink Explore,Inflammation_v1
ERBB2,ERBB2:P04626:Oncology,P04626,3430,ERBB2,164870,ENSG00000141736,2064,OID21520,Receptor tyrosine-protein kinase erbB-2,Olink Explore,Oncology_v1
ERBB3,ERBB3:P21860:Inflammation,P21860,3431,ERBB3,190151,ENSG00000065361,2065,OID20705,Receptor tyrosine-protein kinase erbB-3,Olink Explore,Inflammation_v1
ERBB4,ERBB4:Q15303:Oncology,Q15303,3432,ERBB4,600543,ENSG00000178568,2066,OID21510,Receptor tyrosine-protein kinase erbB-4,Olink Explore,Oncology_v1
ERCC1,ERCC1:P07992:Oncology_II,P07992,3433,ERCC1,126380,ENSG00000012061,2067,OID31223,DNA excision repair protein ERCC-1,Olink Explore,Oncology_v1
EREG,EREG:O14944:Neurology,O14944,3443,EREG,602061,ENSG00000124882,2069,OID20905,Proepiregulin,Olink Explore,Neurology_v1
ERN1,ERN1:O75460:Oncology_II,O75460,3449,ERN1,604033,ENSG00000178607,2081,OID31391,Serine/threonine-protein kinase/endoribonuclease IRE1,Olink Explore,Oncology_v1
ESM1,ESM1:Q9NQ30:Inflammation,Q9NQ30,3466,ESM1,601521,ENSG00000164283,11082,OID20758,Endothelial cell-specific molecule 1,Olink Explore,Inflammation_v1
EVI5,EVI5:O60447:Inflammation_II,O60447,3501,EVI5,602942,ENSG00000067208,7813,OID30519,Ecotropic viral integration site 5 protein homolog,Olink Explore,Inflammation_v1
EXTL1,EXTL1:Q92935:Cardiometabolic_II,Q92935,3515,EXTL1,601738,ENSG00000158008,2134,OID30114,Exostosin-like 1,Olink Explore,Cardiometabolic_v1
F10,F10:P00742:Inflammation_II,P00742,3528,F10,613872,ENSG00000126218,2159,OID30684,Coagulation factor X,Olink Explore,Inflammation_v1
F11,F11:P03951:Inflammation_II,P03951,3529,F11,264900,ENSG00000088926,2160,OID30773,Coagulation factor XI,Olink Explore,Inflammation_v1
F12,F12:P00748:Inflammation_II,P00748,3530,F12,610619,ENSG00000131187,2161,OID30739,Coagulation factor XII,Olink Explore,Inflammation_v1
F13B,F13B:P05160:Inflammation_II,P05160,3534,F13B,134580,ENSG00000143278,2165,OID30781,Coagulation factor XIII B chain,Olink Explore,Inflammation_v1
F2,F2:P00734:Inflammation_II,P00734,3535,F2,176930,ENSG00000180210,2147,OID30723,Prothrombin,Olink Explore,Inflammation_v1
F2R,F2R:P25116:Inflammation,P25116,3537,F2R,187930,ENSG00000181104,2149,OID20691,Proteinase-activated receptor 1,Olink Explore,Inflammation_v1
F3,F3:P13726:Oncology,P13726,3541,F3,134390,ENSG00000117525,2152,OID21440,Tissue factor,Olink Explore,Oncology_v1
F7,F7:P08709:Cardiometabolic,P08709,3544,F7,613878,ENSG00000057593,2155,OID20372,Coagulation factor VII,Olink Explore,Cardiometabolic_v1
F9,F9:P00740:Cardiometabolic,P00740,3551,F9,300746,ENSG00000101981,2158,OID20349,Coagulation factor IX,Olink Explore,Cardiometabolic_v1
FABP1,FABP1:P07148:Inflammation,P07148,3555,FABP1,134650,ENSG00000163586,2168,OID20778,"Fatty acid-binding protein, liver",Olink Explore,Inflammation_v1
FABP2,FABP2:P12104:Cardiometabolic,P12104,3556,FABP2,134640,ENSG00000145384,2169,OID20200,"Fatty acid-binding protein, intestinal",Olink Explore,Cardiometabolic_v1
FABP3,FABP3:P05413:Cardiometabolic_II,P05413,3557,FABP3,134651,ENSG00000121769,2170,OID30351,"Fatty acid-binding protein, heart",Olink Explore,Cardiometabolic_v1
FABP4,FABP4:P15090:Cardiometabolic,P15090,3559,FABP4,600434,ENSG00000170323,2167,OID20245,"Fatty acid-binding protein, adipocyte",Olink Explore,Cardiometabolic_v1
FABP5,FABP5:Q01469:Neurology,Q01469,3560,FABP5,605168,ENSG00000164687,2171,OID21043,Fatty acid-binding protein 5,Olink Explore,Neurology_v1
FABP6,FABP6:P51161:Cardiometabolic,P51161,3561,FABP6,600422,ENSG00000170231,2172,OID20076,Gastrotropin,Olink Explore,Cardiometabolic_v1
FABP9,FABP9:Q0Z7S8:Inflammation,Q0Z7S8,3563,FABP9,0,ENSG00000205186,646480,OID20501,Fatty acid-binding protein 9,Olink Explore,Inflammation_v1
ACSL1,ACSL1:P33121:Cardiometabolic_II,P33121,3569,ACSL1,152425,ENSG00000151726,2180,OID30080,Long-chain-fatty-acid--CoA ligase 1,Olink Explore,Cardiometabolic_v1
FADD,FADD:Q13158:Cardiometabolic,Q13158,3573,FADD,602457,ENSG00000168040,8772,OID20151,FAS-associated death domain protein,Olink Explore,Cardiometabolic_v1
FAP,FAP:Q12884:Cardiometabolic,Q12884,3590,FAP,600403,ENSG00000078098,2191,OID20330,Prolyl endopeptidase FAP,Olink Explore,Cardiometabolic_v1
FARSA,FARSA:Q9Y285:Neurology_II,Q9Y285,3592,FARSA,602918,ENSG00000179115,2193,OID30887,Phenylalanine--tRNA ligase alpha subunit,Olink Explore,Neurology_v1
FBLN2,FBLN2:P98095:Cardiometabolic_II,P98095,3601,FBLN2,135821,ENSG00000163520,2199,OID30378,Fibulin-2,Olink Explore,Cardiometabolic_v1
FBN2,FBN2:P35556:Neurology_II,P35556,3604,FBN2,612570,ENSG00000138829,2201,OID30974,Fibrillin-2,Olink Explore,Neurology_v1
FBP1,FBP1:P09467:Cardiometabolic,P09467,3606,FBP1,611570,ENSG00000165140,2203,OID20227,"Fructose-1,6-bisphosphatase 1",Olink Explore,Cardiometabolic_v1
FCAR,FCAR:P24071:Inflammation,P24071,3608,FCAR,147045,ENSG00000186431,2204,OID20564,Immunoglobulin alpha Fc receptor,Olink Explore,Inflammation_v1
FCER1A,FCER1A:P12319:Neurology_II,P12319,3609,FCER1A,147140,ENSG00000179639,2205,OID30992,High affinity immunoglobulin epsilon receptor subunit alpha,Olink Explore,Neurology_v1
FCER2,FCER2:P06734:Neurology,P06734,3612,FCER2,151445,ENSG00000104921,2208,OID21133,Low affinity immunoglobulin epsilon Fc receptor,Olink Explore,Neurology_v1
FCGR2A,FCGR2A:P12318:Cardiometabolic,P12318,3616,FCGR2A,146790,ENSG00000143226,2212,OID20391,Low affinity immunoglobulin gamma Fc region receptor II-a,Olink Explore,Cardiometabolic_v1
FCGR2B,FCGR2B:P31994:Oncology,P31994,3618,FCGR2B,604590,ENSG00000072694,2213,OID21215,Low affinity immunoglobulin gamma Fc region receptor II-b,Olink Explore,Oncology_v1
FCGR3B,FCGR3B:O75015:Cardiometabolic,O75015,3620,FCGR3B,610665,ENSG00000162747,2215,OID20387,Low affinity immunoglobulin gamma Fc region receptor III-B,Olink Explore,Cardiometabolic_v1
FCN1,FCN1:O00602:Inflammation_II,O00602,3623,FCN1,601252,ENSG00000085265,2219,OID30690,Ficolin-1,Olink Explore,Inflammation_v1
FCN2,FCN2:Q15485:Cardiometabolic,Q15485,3624,FCN2,601624,ENSG00000160339,2220,OID20382,Ficolin-2,Olink Explore,Cardiometabolic_v1
FDX1,FDX1:P10109:Cardiometabolic_II,P10109,3638,FDX1,103260,ENSG00000137714,2230,OID30078,"Adrenodoxin, mitochondrial",Olink Explore,Cardiometabolic_v1
FEN1,FEN1:P39748:Oncology,P39748,3650,FEN1,600393,ENSG00000168496,2237,OID21192,Flap endonuclease 1,Olink Explore,Oncology_v1
FES,FES:P07332:Oncology,P07332,3657,FES,190030,ENSG00000182511,2242,OID21207,Tyrosine-protein kinase Fes/Fps,Olink Explore,Oncology_v1
FETUB,FETUB:Q9UGM5:Cardiometabolic,Q9UGM5,3658,FETUB,605954,ENSG00000090512,26998,OID20404,Fetuin-B,Olink Explore,Cardiometabolic_v1
FGA,FGA:P02671:Inflammation_II,P02671,3661,FGA,134820,ENSG00000171560,2243,OID30788,Fibrinogen alpha chain,Olink Explore,Inflammation_v1
FGF19,FGF19:O95750:Inflammation,O95750,3675,FGF19,603891,ENSG00000162344,9965,OID20715,Fibroblast growth factor 19,Olink Explore,Inflammation_v1
FGF2,FGF2:P09038:Inflammation,P09038,3676,FGF2,134920,ENSG00000138685,2247,OID20503,Fibroblast growth factor 2,Olink Explore,Inflammation_v1
FGF21,FGF21:Q9NSA1:Oncology,Q9NSA1,3678,FGF21,609436,ENSG00000105550,26291,OID21402,Fibroblast growth factor 21,Olink Explore,Oncology_v1
FGF23,FGF23:Q9GZV9:Oncology,Q9GZV9,3680,FGF23,605380,ENSG00000118972,8074,OID21411,Fibroblast growth factor 23,Olink Explore,Oncology_v1
FGF3,FGF3:P11487:Inflammation_II,P11487,3681,FGF3,164950,ENSG00000186895,2248,OID30544,Fibroblast growth factor 3,Olink Explore,Inflammation_v1
FGF5,FGF5:P12034:Inflammation,P12034,3683,FGF5,165190,ENSG00000138675,2250,OID20490,Fibroblast growth factor 5,Olink Explore,Inflammation_v1
FGF9,FGF9:P31371:Oncology_II,P31371,3687,FGF9,600921,ENSG00000102678,2254,OID31193,Fibroblast growth factor 9,Olink Explore,Oncology_v1
FGFR2,FGFR2:P21802:Oncology,P21802,3689,FGFR2,176943,ENSG00000066468,2263,OID21478,Fibroblast growth factor receptor 2,Olink Explore,Oncology_v1
FGFR4,FGFR4:P22455:Inflammation_II,P22455,3691,FGFR4,134935,ENSG00000160867,2264,OID30646,Fibroblast growth factor receptor 4,Olink Explore,Inflammation_v1
FGL1,FGL1:Q08830:Inflammation_II,Q08830,3695,FGL1,605776,ENSG00000104760,2267,OID30702,Fibrinogen-like protein 1,Olink Explore,Inflammation_v1
FGR,FGR:P09769:Neurology,P09769,3697,FGR,164940,ENSG00000000938,2268,OID20828,Tyrosine-protein kinase Fgr,Olink Explore,Neurology_v1
FH,FH:P07954:Neurology_II,P07954,3700,FH,136850,ENSG00000091483,2271,OID30839,"Fumarate hydratase, mitochondrial",Olink Explore,Neurology_v1
FHIT,FHIT:P49789:Neurology,P49789,3701,FHIT,601153,ENSG00000189283,2272,OID20872,Bis(5'-adenosyl)-triphosphatase,Olink Explore,Neurology_v1
VEGFD,VEGFD:O43915:Inflammation,O43915,3708,VEGFD,300091,ENSG00000165197,2277,OID20662,Vascular endothelial growth factor D,Olink Explore,Inflammation_v1
FKBP1B,FKBP1B:P68106:Inflammation,P68106,3712,FKBP1B,600620,ENSG00000119782,2281,OID20618,Peptidyl-prolyl cis-trans isomerase FKBP1B,Olink Explore,Inflammation_v1
FKBP4,FKBP4:Q02790:Neurology,Q02790,3720,FKBP4,600611,ENSG00000004478,2288,OID20960,Peptidyl-prolyl cis-trans isomerase FKBP4,Olink Explore,Neurology_v1
FKBP5,FKBP5:Q13451:Neurology,Q13451,3721,FKBP5,602623,ENSG00000096060,2289,OID20937,Peptidyl-prolyl cis-trans isomerase FKBP5,Olink Explore,Neurology_v1
FKBP7,FKBP7:Q9Y680:Neurology,Q9Y680,3723,FKBP7,607062,ENSG00000079150,51661,OID20846,Peptidyl-prolyl cis-trans isomerase FKBP7,Olink Explore,Neurology_v1
FLI1,FLI1:Q01543:Oncology,Q01543,3749,FLI1,193067,ENSG00000151702,2313,OID21239,Friend leukemia integration 1 transcription factor,Olink Explore,Oncology_v1
FLRT2,FLRT2:O43155:Neurology,O43155,3761,FLRT2,604807,ENSG00000185070,23768,OID20946,Leucine-rich repeat transmembrane protein FLRT2,Olink Explore,Neurology_v1
FLT1,FLT1:P17948:Oncology,P17948,3763,FLT1,165070,ENSG00000102755,2321,OID21301,Vascular endothelial growth factor receptor 1,Olink Explore,Oncology_v1
FLT3,FLT3:P36888:Oncology,P36888,3765,FLT3,136351,ENSG00000122025,2322,OID21272,Receptor-type tyrosine-protein kinase FLT3,Olink Explore,Oncology_v1
FLT3LG,FLT3LG:P49771:Inflammation,P49771,3766,FLT3LG,600007,ENSG00000090554,2323,OID20661,Fms-related tyrosine kinase 3 ligand,Olink Explore,Inflammation_v1
FLT4,FLT4:P35916:Oncology,P35916,3767,FLT4,136352,ENSG00000037280,2324,OID21491,Vascular endothelial growth factor receptor 3,Olink Explore,Oncology_v1
FN1,FN1:P02751:Inflammation_II,P02751,3778,FN1,135600,ENSG00000115414,2335,OID30787,Fibronectin,Olink Explore,Inflammation_v1
FNTA,FNTA:P49354:Oncology_II,P49354,3782,FNTA,134635,ENSG00000168522,2339,OID31381,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Olink Explore,Oncology_v1
FOLH1,FOLH1:Q04609:Inflammation_II,Q04609,3788,FOLH1,600934,ENSG00000086205,2346,OID30430,Glutamate carboxypeptidase 2,Olink Explore,Inflammation_v1
FOLR1,FOLR1:P15328:Oncology,P15328,3791,FOLR1,136430,ENSG00000110195,2348,OID21529,Folate receptor alpha,Olink Explore,Oncology_v1
FOLR2,FOLR2:P14207:Neurology,P14207,3793,FOLR2,136425,ENSG00000165457,2350,OID21062,Folate receptor beta,Olink Explore,Neurology_v1
FOLR3,FOLR3:P41439:Oncology,P41439,3795,FOLR3,602469,ENSG00000110203,2352,OID21485,Folate receptor gamma,Olink Explore,Oncology_v1
FOSB,FOSB:P53539:Neurology,P53539,3797,FOSB,164772,ENSG00000125740,2354,OID20791,Protein fosB,Olink Explore,Neurology_v1
FOXO1,FOXO1:Q12778:Inflammation,Q12778,3819,FOXO1,136533,ENSG00000150907,2308,OID20515,Forkhead box protein O1,Olink Explore,Inflammation_v1
FOXO3,FOXO3:O43524:Oncology,O43524,3821,FOXO3,602681,ENSG00000118689,2309,OID21271,Forkhead box protein O3,Olink Explore,Oncology_v1
FXN,FXN:Q16595:Oncology,Q16595,3951,FXN,606829,ENSG00000165060,2395,OID21442,"Frataxin, mitochondrial",Olink Explore,Oncology_v1
NCS1,NCS1:P62166:Oncology,P62166,3953,NCS1,603315,ENSG00000107130,23413,OID21458,Neuronal calcium sensor 1,Olink Explore,Oncology_v1
FRZB,FRZB:Q92765:Neurology,Q92765,3959,FRZB,605083,ENSG00000162998,2487,OID20968,Secreted frizzled-related protein 3,Olink Explore,Neurology_v1
FSHB,FSHB:P01225:Cardiometabolic_II,P01225,3964,FSHB,136530,ENSG00000131808,2488,OID30233,Follitropin subunit beta,Olink Explore,Cardiometabolic_v1
FST,FST:P19883:Inflammation,P19883,3971,FST,136470,ENSG00000134363,10468,OID20770,Follistatin,Olink Explore,Inflammation_v1
FSTL1,FSTL1:Q12841:Cardiometabolic_II,Q12841,3972,FSTL1,605547,ENSG00000163430,11167,OID30254,Follistatin-related protein 1,Olink Explore,Cardiometabolic_v1
FSTL3,FSTL3:O95633:Inflammation,O95633,3973,FSTL3,605343,ENSG00000070404,10272,OID20782,Follistatin-related protein 3,Olink Explore,Inflammation_v1
FTCD,FTCD:O95954:Neurology_II,O95954,3974,FTCD,606806,ENSG00000160282,10841,OID31137,Formimidoyltransferase-cyclodeaminase,Olink Explore,Neurology_v1
