Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel,DECODE_exposure,DCODE_seqid,DCODE_target_name,DCODE_target_full_name,DCODE_gene_name,DCODE_platform,DCODE_HGNC,DCODE_Approved symbol,DCODE_Approved name,DCODE_OMIM_Gene_ID,DCODE_Ensembl_gene_ID,DCODE_NCBI_Gene_ID,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
LMOD1,LMOD1:P29536:Inflammation_II,P29536,6647,LMOD1,602715,ENSG00000163431,25802,OID30547,Leiomodin-1,Olink Explore,Inflammation_v1,LMOD1_12504_26,SeqId.12504-26,LMOD1,Leiomodin-1,LMOD1,SomaScan v4,6647.0,LMOD1,leiomodin 1,602715,ENSG00000163431,25802.0,6647,LMOD1,602715,ENSG00000163431,25802,Leiomodin-1
LMOD1,LMOD1:P29536:Cardiometabolic_II,P29536,6647,LMOD1,602715,ENSG00000163431,25802,OID30212,Leiomodin-1,Olink Explore,Cardiometabolic_v1,LMOD1_12504_26,SeqId.12504-26,LMOD1,Leiomodin-1,LMOD1,SomaScan v4,6647.0,LMOD1,leiomodin 1,602715,ENSG00000163431,25802.0,6647,LMOD1,602715,ENSG00000163431,25802,Leiomodin-1
LPA,LPA:P08519:Inflammation_II,P08519,6667,LPA,152200,ENSG00000198670,4018,OID30747,Apolipoprotein(a),Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6667,LPA,152200,ENSG00000198670,4018,Apolipoprotein(a)
LPL,LPL:P06858:Cardiometabolic,P06858,6677,LPL,609708,ENSG00000175445,4023,OID20188,Lipoprotein lipase,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6677,LPL,609708,ENSG00000175445,4023,Lipoprotein lipase
LPO,LPO:P22079:Neurology,P22079,6678,LPO,150205,ENSG00000167419,4025,OID20963,Lactoperoxidase,Olink Explore,Neurology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6678,LPO,150205,ENSG00000167419,4025,Lactoperoxidase
LPP,LPP:Q93052:Cardiometabolic_II,Q93052,6679,LPP,600700,ENSG00000145012,4026,OID30190,Lipoma-preferred partner,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6679,LPP,600700,ENSG00000145012,4026,Lipoma-preferred partner
IRAG2,IRAG2:Q12912:Cardiometabolic,Q12912,6690,IRAG2,602003,ENSG00000118308,4033,OID20085,"Inositol 1,4,5-triphosphate receptor associated 2",Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6690,IRAG2,602003,ENSG00000118308,4033,"Inositol 1,4,5-triphosphate receptor associated 2"
LRCH4,LRCH4:O75427:Cardiometabolic_II,O75427,6691,LRCH4,620165,ENSG00000077454,4034,OID30191,Leucine-rich repeat and calponin homology domain-containing protein 4,Olink Explore,Cardiometabolic_v1,LRCH4_11252_30,SeqId.11252-30,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4,SomaScan v4,6691.0,LRCH4,leucine rich repeats and calponin homology domain containing 4,620165,ENSG00000077454,4034.0,6691,LRCH4,620165,ENSG00000077454,4034,Leucine-rich repeat and calponin homology domain-containing protein 4
LRP1,LRP1:Q07954:Oncology,Q07954,6692,LRP1,107770,ENSG00000123384,4035,OID21293,Prolow-density lipoprotein receptor-related protein 1,Olink Explore,Oncology_v1,LRP1_8601_167,SeqId.8601-167,sLRP1,"Low-density lipoprotein receptor-related protein 1, soluble",LRP1,SomaScan v4,6692.0,LRP1,LDL receptor related protein 1,107770,ENSG00000123384,4035.0,6692,LRP1,107770,ENSG00000123384,4035,Prolow-density lipoprotein receptor-related protein 1
LRP1,LRP1:Q07954:Oncology,Q07954,6692,LRP1,107770,ENSG00000123384,4035,OID21293,Prolow-density lipoprotein receptor-related protein 1,Olink Explore,Oncology_v1,LRP1_9182_3,SeqId.9182-3,sLRP1,"Low-density lipoprotein receptor-related protein 1, soluble",LRP1,SomaScan v4,6692.0,LRP1,LDL receptor related protein 1,107770,ENSG00000123384,4035.0,6692,LRP1,107770,ENSG00000123384,4035,Prolow-density lipoprotein receptor-related protein 1
LRP1,LRP1:Q07954:Oncology,Q07954,6692,LRP1,107770,ENSG00000123384,4035,OID21293,Prolow-density lipoprotein receptor-related protein 1,Olink Explore,Oncology_v1,LRP1_10699_52,SeqId.10699-52,LRP1,Prolow-density lipoprotein receptor-related protein 1,LRP1,SomaScan v4,6692.0,LRP1,LDL receptor related protein 1,107770,ENSG00000123384,4035.0,6692,LRP1,107770,ENSG00000123384,4035,Prolow-density lipoprotein receptor-related protein 1
LRPAP1,LRPAP1:P30533:Neurology,P30533,6701,LRPAP1,104225,ENSG00000163956,4043,OID21059,Alpha-2-macroglobulin receptor-associated protein,Olink Explore,Neurology_v1,LRPAP1_3640_14,SeqId.3640-14,RAP,alpha-2-macroglobulin receptor-associated protein,LRPAP1,SomaScan v4,6701.0,LRPAP1,LDL receptor related protein associated protein 1,104225,ENSG00000163956,4043.0,6701,LRPAP1,104225,ENSG00000163956,4043,Alpha-2-macroglobulin receptor-associated protein
LRRFIP1,LRRFIP1:Q32MZ4:Oncology_II,Q32MZ4,6702,LRRFIP1,603256,ENSG00000124831,9208,OID31344,Leucine-rich repeat flightless-interacting protein 1,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6702,LRRFIP1,603256,ENSG00000124831,9208,Leucine-rich repeat flightless-interacting protein 1
LSP1,LSP1:P33241:Inflammation,P33241,6707,LSP1,153432,ENSG00000130592,4046,OID20530,Lymphocyte-specific protein 1,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6707,LSP1,153432,ENSG00000130592,4046,Lymphocyte-specific protein 1
LTA,LTA:P01374:Inflammation,P01374,6709,LTA,153440,ENSG00000226979,4049,OID20586,Lymphotoxin-alpha,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6709,LTA,153440,ENSG00000226979,4049,Lymphotoxin-alpha
LTA4H,LTA4H:P09960:Oncology,P09960,6710,LTA4H,151570,ENSG00000111144,4048,OID21452,Leukotriene A-4 hydrolase,Olink Explore,Oncology_v1,LTA4H_3204_2,SeqId.3204-2,LKHA4,Leukotriene A-4 hydrolase,LTA4H,SomaScan v4,6710.0,LTA4H,leukotriene A4 hydrolase,151570,ENSG00000111144,4048.0,6710,LTA4H,151570,ENSG00000111144,4048,Leukotriene A-4 hydrolase
LTB,LTB:Q06643:Oncology_II,Q06643,6711,LTB,600978,ENSG00000227507,4050,OID31383,Lymphotoxin-beta,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6711,LTB,600978,ENSG00000227507,4050,Lymphotoxin-beta
LTBP2,LTBP2:Q14767:Cardiometabolic,Q14767,6715,LTBP2,602091,ENSG00000119681,4053,OID20254,Latent-transforming growth factor beta-binding protein 2,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6715,LTBP2,602091,ENSG00000119681,4053,Latent-transforming growth factor beta-binding protein 2
LTBP3,LTBP3:Q9NS15:Oncology,Q9NS15,6716,LTBP3,602090,ENSG00000168056,4054,OID21191,Latent-transforming growth factor beta-binding protein 3,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6716,LTBP3,602090,ENSG00000168056,4054,Latent-transforming growth factor beta-binding protein 3
LTBR,LTBR:P36941:Inflammation,P36941,6718,LTBR,600979,ENSG00000111321,4055,OID20768,Tumor necrosis factor receptor superfamily member 3,Olink Explore,Inflammation_v1,LTBR_2636_10,SeqId.2636-10,Lymphotoxin b R,Tumor necrosis factor receptor superfamily member 3,LTBR,SomaScan v4,6718.0,LTBR,lymphotoxin beta receptor,600979,ENSG00000111321,4055.0,6718,LTBR,600979,ENSG00000111321,4055,Tumor necrosis factor receptor superfamily member 3
BCAM,BCAM:P50895:Neurology,P50895,6722,BCAM,612773,ENSG00000187244,4059,OID21076,Basal cell adhesion molecule,Olink Explore,Neurology_v1,BCAM_2816_50,SeqId.2816-50,BCAM,Basal Cell Adhesion Molecule,BCAM,SomaScan v4,6722.0,BCAM,basal cell adhesion molecule (Lutheran blood group),612773,ENSG00000187244,4059.0,6722,BCAM,612773,ENSG00000187244,4059,Basal cell adhesion molecule
LY75,LY75:O60449:Inflammation,O60449,6729,LY75,604524,ENSG00000054219,4065,OID20580,Lymphocyte antigen 75,Olink Explore,Inflammation_v1,LY75_16620_26,SeqId.16620-26,LY75,Lymphocyte antigen 75,LY75,SomaScan v4,6729.0,LY75,lymphocyte antigen 75,604524,ENSG00000054219,4065.0,6729,LY75,604524,ENSG00000054219,4065,Lymphocyte antigen 75
LY9,LY9:Q9HBG7:Inflammation,Q9HBG7,6730,LY9,600684,ENSG00000122224,4063,OID20670,T-lymphocyte surface antigen Ly-9,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6730,LY9,600684,ENSG00000122224,4063,T-lymphocyte surface antigen Ly-9
NCR1,NCR1:O76036:Inflammation,O76036,6731,NCR1,604530,ENSG00000189430,9437,OID20566,Natural cytotoxicity triggering receptor 1,Olink Explore,Inflammation_v1,NCR1_8360_169,SeqId.8360-169,NKp46,Natural cytotoxicity triggering receptor 1,NCR1,SomaScan v4,6731.0,NCR1,natural cytotoxicity triggering receptor 1,604530,ENSG00000189430,9437.0,6731,NCR1,604530,ENSG00000189430,9437,Natural cytotoxicity triggering receptor 1
LYN,LYN:P07948:Oncology,P07948,6735,LYN,165120,ENSG00000254087,4067,OID21350,Tyrosine-protein kinase Lyn,Olink Explore,Oncology_v1,LYN_3381_24,SeqId.3381-24,LYNB,"Tyrosine-protein kinase Lyn, isoform B",LYN,SomaScan v4,6735.0,LYN,"LYN proto-oncogene, Src family tyrosine kinase",165120,ENSG00000254087,4067.0,6735,LYN,165120,ENSG00000254087,4067,Tyrosine-protein kinase Lyn
LYN,LYN:P07948:Oncology,P07948,6735,LYN,165120,ENSG00000254087,4067,OID21350,Tyrosine-protein kinase Lyn,Olink Explore,Oncology_v1,LYN_3453_87,SeqId.3453-87,LYN,Tyrosine-protein kinase Lyn,LYN,SomaScan v4,6735.0,LYN,"LYN proto-oncogene, Src family tyrosine kinase",165120,ENSG00000254087,4067.0,6735,LYN,165120,ENSG00000254087,4067,Tyrosine-protein kinase Lyn
LZTFL1,LZTFL1:Q9NQ48:Inflammation_II,Q9NQ48,6741,LZTFL1,606568,ENSG00000163818,54585,OID30637,Leucine zipper transcription factor-like protein 1,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6741,LZTFL1,606568,ENSG00000163818,54585,Leucine zipper transcription factor-like protein 1
M6PR,M6PR:P20645:Cardiometabolic_II,P20645,6752,M6PR,154540,ENSG00000003056,4074,OID30208,Cation-dependent mannose-6-phosphate receptor,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6752,M6PR,154540,ENSG00000003056,4074,Cation-dependent mannose-6-phosphate receptor
MAD1L1,MAD1L1:Q9Y6D9:Neurology,Q9Y6D9,6762,MAD1L1,602686,ENSG00000002822,8379,OID20904,Mitotic spindle assembly checkpoint protein MAD1,Olink Explore,Neurology_v1,MAD1L1_13618_15,SeqId.13618-15,MD1L1,Mitotic spindle assembly checkpoint protein MAD1,MAD1L1,SomaScan v4,6762.0,MAD1L1,mitotic arrest deficient 1 like 1,602686,ENSG00000002822,8379.0,6762,MAD1L1,602686,ENSG00000002822,8379,Mitotic spindle assembly checkpoint protein MAD1
SMAD1,SMAD1:Q15797:Oncology,Q15797,6767,SMAD1,601595,ENSG00000170365,4086,OID21180,Mothers against decapentaplegic homolog 1,Olink Explore,Oncology_v1,SMAD1_9838_4,SeqId.9838-4,SMAD1,Mothers against decapentaplegic homolog 1,SMAD1,SomaScan v4,6767.0,SMAD1,SMAD family member 1,601595,ENSG00000170365,4086.0,6767,SMAD1,601595,ENSG00000170365,4086,Mothers against decapentaplegic homolog 1
SMAD2,SMAD2:Q15796:Oncology_II,Q15796,6768,SMAD2,601366,ENSG00000175387,4087,OID31353,Mothers against decapentaplegic homolog 2,Olink Explore,Oncology_v1,SMAD2_10364_6,SeqId.10364-6,SMAD2,Mothers against decapentaplegic homolog 2,SMAD2,SomaScan v4,6768.0,SMAD2,SMAD family member 2,601366,ENSG00000175387,4087.0,6768,SMAD2,601366,ENSG00000175387,4087,Mothers against decapentaplegic homolog 2
SMAD3,SMAD3:P84022:Oncology_II,P84022,6769,SMAD3,603109,ENSG00000166949,4088,OID31418,Mothers against decapentaplegic homolog 3,Olink Explore,Oncology_v1,SMAD3_10363_13,SeqId.10363-13,SMAD3,Mothers against decapentaplegic homolog 3,SMAD3,SomaScan v4,6769.0,SMAD3,SMAD family member 3,603109,ENSG00000166949,4088.0,6769,SMAD3,603109,ENSG00000166949,4088,Mothers against decapentaplegic homolog 3
SMAD5,SMAD5:Q99717:Oncology,Q99717,6771,SMAD5,603110,ENSG00000113658,4090,OID21353,Mothers against decapentaplegic homolog 5,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6771,SMAD5,603110,ENSG00000113658,4090,Mothers against decapentaplegic homolog 5
MAGED1,MAGED1:Q9Y5V3:Oncology,Q9Y5V3,6813,MAGED1,300224,ENSG00000179222,9500,OID21181,Melanoma-associated antigen D1,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6813,MAGED1,300224,ENSG00000179222,9500,Melanoma-associated antigen D1
MAN1A2,MAN1A2:O60476:Cardiometabolic_II,O60476,6822,MAN1A2,604345,ENSG00000198162,10905,OID30262,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",Olink Explore,Cardiometabolic_v1,MAN1A2_9077_10,SeqId.9077-10,MA1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",MAN1A2,SomaScan v4,6822.0,MAN1A2,mannosidase alpha class 1A member 2,604345,ENSG00000198162,10905.0,6822,MAN1A2,604345,ENSG00000198162,10905,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"
MAP2,MAP2:P11137:Neurology_II,P11137,6839,MAP2,157130,ENSG00000078018,4133,OID31138,Microtubule-associated protein 2,Olink Explore,Neurology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6839,MAP2,157130,ENSG00000078018,4133,Microtubule-associated protein 2
MAP2K1,MAP2K1:Q02750:Oncology_II,Q02750,6840,MAP2K1,176872,ENSG00000169032,5604,OID31468,Dual specificity mitogen-activated protein kinase kinase 1,Olink Explore,Oncology_v1,MAP2K1_2864_2,SeqId.2864-2,MEK1,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,SomaScan v4,6840.0,MAP2K1,mitogen-activated protein kinase kinase 1,176872,ENSG00000169032,5604.0,6840,MAP2K1,176872,ENSG00000169032,5604,Dual specificity mitogen-activated protein kinase kinase 1
MAP2K6,MAP2K6:P52564:Inflammation,P52564,6846,MAP2K6,601254,ENSG00000108984,5608,OID20552,Dual specificity mitogen-activated protein kinase kinase 6,Olink Explore,Inflammation_v1,MAP2K6_17175_5,SeqId.17175-5,MP2K6,Dual specificity mitogen-activated protein kinase kinase 6,MAP2K6,SomaScan v4,6846.0,MAP2K6,mitogen-activated protein kinase kinase 6,601254,ENSG00000108984,5608.0,6846,MAP2K6,601254,ENSG00000108984,5608,Dual specificity mitogen-activated protein kinase kinase 6
MAP3K5,MAP3K5:Q99683:Oncology,Q99683,6857,MAP3K5,602448,ENSG00000197442,4217,OID21253,Mitogen-activated protein kinase kinase kinase 5,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6857,MAP3K5,602448,ENSG00000197442,4217,Mitogen-activated protein kinase kinase kinase 5
MAP4K5,MAP4K5:Q9Y4K4:Neurology,Q9Y4K4,6867,MAP4K5,604923,ENSG00000012983,11183,OID20899,Mitogen-activated protein kinase kinase kinase kinase 5,Olink Explore,Neurology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6867,MAP4K5,604923,ENSG00000012983,11183,Mitogen-activated protein kinase kinase kinase kinase 5
MAPK13,MAPK13:O15264:Oncology_II,O15264,6875,MAPK13,602899,ENSG00000156711,5603,OID31205,Mitogen-activated protein kinase 13,Olink Explore,Oncology_v1,MAPK13_5006_71,SeqId.5006-71,MK13,Mitogen-activated protein kinase 13,MAPK13,SomaScan v4,6875.0,MAPK13,mitogen-activated protein kinase 13,602899,ENSG00000156711,5603.0,6875,MAPK13,602899,ENSG00000156711,5603,Mitogen-activated protein kinase 13
MAPK9,MAPK9:P45984:Inflammation,P45984,6886,MAPK9,602896,ENSG00000050748,5601,OID20557,Mitogen-activated protein kinase 9,Olink Explore,Inflammation_v1,MAPK9_15604_18,SeqId.15604-18,JNK2,Mitogen-activated protein kinase 9,MAPK9,SomaScan v4,6886.0,MAPK9,mitogen-activated protein kinase 9,602896,ENSG00000050748,5601.0,6886,MAPK9,602896,ENSG00000050748,5601,Mitogen-activated protein kinase 9
MAPKAPK2,MAPKAPK2:P49137:Oncology_II,P49137,6887,MAPKAPK2,602006,ENSG00000162889,9261,OID31293,MAP kinase-activated protein kinase 2,Olink Explore,Oncology_v1,MAPKAPK2_3820_68,SeqId.3820-68,MAPK2,MAP kinase-activated protein kinase 2,MAPKAPK2,SomaScan v4,6887.0,MAPKAPK2,MAPK activated protein kinase 2,602006,ENSG00000162889,9261.0,6887,MAPKAPK2,602006,ENSG00000162889,9261,MAP kinase-activated protein kinase 2
MAPRE3,MAPRE3:Q9UPY8:Oncology_II,Q9UPY8,6892,MAPRE3,605788,ENSG00000084764,22924,OID31177,Microtubule-associated protein RP/EB family member 3,Olink Explore,Oncology_v1,MAPRE3_16885_49,SeqId.16885-49,MARE3,Microtubule-associated protein RP/EB family member 3,MAPRE3,SomaScan v4,6892.0,MAPRE3,microtubule associated protein RP/EB family member 3,605788,ENSG00000084764,22924.0,6892,MAPRE3,605788,ENSG00000084764,22924,Microtubule-associated protein RP/EB family member 3
MARCO,MARCO:Q9UEW3:Cardiometabolic,Q9UEW3,6895,MARCO,604870,ENSG00000019169,8685,OID20210,Macrophage receptor MARCO,Olink Explore,Cardiometabolic_v1,MARCO_9003_99,SeqId.9003-99,MARCO,Macrophage receptor MARCO,MARCO,SomaScan v4,6895.0,MARCO,macrophage receptor with collagenous structure,604870,ENSG00000019169,8685.0,6895,MARCO,604870,ENSG00000019169,8685,Macrophage receptor MARCO
MARS1,MARS1:P56192:Inflammation_II,P56192,6898,MARS1,156560,ENSG00000166986,4141,OID30658,"Methionine--tRNA ligase, cytoplasmic",Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6898,MARS1,156560,ENSG00000166986,4141,"Methionine--tRNA ligase, cytoplasmic"
MASP1,MASP1:P48740:Neurology,P48740,6901,MASP1,600521,ENSG00000127241,5648,OID20954,Mannan-binding lectin serine protease 1,Olink Explore,Neurology_v1,MASP1_3605_77,SeqId.3605-77,MASP3,Mannan-binding lectin serine protease 1,MASP1,SomaScan v4,6901.0,MASP1,MBL associated serine protease 1,600521,ENSG00000127241,5648.0,6901,MASP1,600521,ENSG00000127241,5648,Mannan-binding lectin serine protease 1
MASP1,MASP1:P48740:Neurology,P48740,6901,MASP1,600521,ENSG00000127241,5648,OID20954,Mannan-binding lectin serine protease 1,Olink Explore,Neurology_v1,MASP1_9125_23,SeqId.9125-23,MASP3,Mannan-binding lectin serine protease 1,MASP1,SomaScan v4,6901.0,MASP1,MBL associated serine protease 1,600521,ENSG00000127241,5648.0,6901,MASP1,600521,ENSG00000127241,5648,Mannan-binding lectin serine protease 1
MATN2,MATN2:O00339:Inflammation,O00339,6908,MATN2,602108,ENSG00000132561,4147,OID20767,Matrilin-2,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6908,MATN2,602108,ENSG00000132561,4147,Matrilin-2
MATN3,MATN3:O15232:Neurology,O15232,6909,MATN3,602109,ENSG00000132031,4148,OID20979,Matrilin-3,Olink Explore,Neurology_v1,MATN3_19361_78,SeqId.19361-78,MATN3,Matrilin-3,MATN3,SomaScan v4,6909.0,MATN3,matrilin 3,602109,ENSG00000132031,4148.0,6909,MATN3,602109,ENSG00000132031,4148,Matrilin-3
MAX,MAX:P61244:Neurology,P61244,6913,MAX,154950,ENSG00000125952,4149,OID20877,Protein max,Olink Explore,Neurology_v1,MAX_12411_60,SeqId.12411-60,MAX,Protein max,MAX,SomaScan v4,6913.0,MAX,MYC associated factor X,154950,ENSG00000125952,4149.0,6913,MAX,154950,ENSG00000125952,4149,Protein max
MB,MB:P02144:Cardiometabolic,P02144,6915,MB,160000,ENSG00000198125,4151,OID20263,Myoglobin,Olink Explore,Cardiometabolic_v1,MB_3042_7,SeqId.3042-7,Myoglobin,Myoglobin,MB,SomaScan v4,6915.0,MB,myoglobin,160000,ENSG00000198125,4151.0,6915,MB,160000,ENSG00000198125,4151,Myoglobin
MBL2,MBL2:P11226:Inflammation_II,P11226,6922,MBL2,154545,ENSG00000165471,4153,OID30759,Mannose-binding protein C,Olink Explore,Inflammation_v1,MBL2_3000_66,SeqId.3000-66,MBL,Mannose-binding protein C,MBL2,SomaScan v4,6922.0,MBL2,mannose binding lectin 2,154545,ENSG00000165471,4153.0,6922,MBL2,154545,ENSG00000165471,4153,Mannose-binding protein C
MCAM,MCAM:P43121:Cardiometabolic,P43121,6934,MCAM,155735,ENSG00000076706,4162,OID20343,Cell surface glycoprotein MUC18,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,6934,MCAM,155735,ENSG00000076706,4162,Cell surface glycoprotein MUC18
CD46,CD46:P15529:Cardiometabolic,P15529,6953,CD46,120920,ENSG00000117335,4179,OID20380,Membrane cofactor protein,Olink Explore,Cardiometabolic_v1,CD46_17682_1,SeqId.17682-1,CD46,Membrane cofactor protein,CD46,SomaScan v4,6953.0,CD46,CD46 molecule,120920,ENSG00000117335,4179.0,6953,CD46,120920,ENSG00000117335,4179,Membrane cofactor protein
MDH1,MDH1:P40925:Inflammation_II,P40925,6970,MDH1,154200,ENSG00000014641,4190,OID30669,"Malate dehydrogenase, cytoplasmic",Olink Explore,Inflammation_v1,MDH1_3853_56,SeqId.3853-56,MDHC,"Malate dehydrogenase, cytoplasmic",MDH1,SomaScan v4,6970.0,MDH1,malate dehydrogenase 1,154200,ENSG00000014641,4190.0,6970,MDH1,154200,ENSG00000014641,4190,"Malate dehydrogenase, cytoplasmic"
MDK,MDK:P21741:Oncology,P21741,6972,MDK,162096,ENSG00000110492,4192,OID21489,Midkine,Olink Explore,Oncology_v1,MDK_2911_27,SeqId.2911-27,Midkine,Midkine,MDK,SomaScan v4,6972.0,MDK,midkine,162096,ENSG00000110492,4192.0,6972,MDK,162096,ENSG00000110492,4192,Midkine
MEP1A,MEP1A:Q16819:Oncology_II,Q16819,7015,MEP1A,600388,ENSG00000112818,4224,OID31459,Meprin A subunit alpha,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7015,MEP1A,600388,ENSG00000112818,4224,Meprin A subunit alpha
MEP1B,MEP1B:Q16820:Cardiometabolic,Q16820,7020,MEP1B,600389,ENSG00000141434,4225,OID20168,Meprin A subunit beta,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7020,MEP1B,600389,ENSG00000141434,4225,Meprin A subunit beta
MERTK,MERTK:Q12866:Inflammation,Q12866,7027,MERTK,604705,ENSG00000153208,10461,OID20657,Tyrosine-protein kinase Mer,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7027,MERTK,604705,ENSG00000153208,10461,Tyrosine-protein kinase Mer
MET,MET:P08581:Cardiometabolic,P08581,7029,MET,164860,ENSG00000105976,4233,OID20269,Hepatocyte growth factor receptor,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7029,MET,164860,ENSG00000105976,4233,Hepatocyte growth factor receptor
MFAP3,MFAP3:P55082:Cardiometabolic,P55082,7034,MFAP3,600491,ENSG00000037749,4238,OID20057,Microfibril-associated glycoprotein 3,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7034,MFAP3,600491,ENSG00000037749,4238,Microfibril-associated glycoprotein 3
MFAP4,MFAP4:P55083:Inflammation_II,P55083,7035,MFAP4,600596,ENSG00000166482,4239,OID30598,Microfibril-associated glycoprotein 4,Olink Explore,Inflammation_v1,MFAP4_5636_10,SeqId.5636-10,MFAP4,Microfibril-associated glycoprotein 4,MFAP4,SomaScan v4,7035.0,MFAP4,microfibril associated protein 4,600596,ENSG00000166482,4239.0,7035,MFAP4,600596,ENSG00000166482,4239,Microfibril-associated glycoprotein 4
MFGE8,MFGE8:Q08431:Neurology,Q08431,7036,MFGE8,602281,ENSG00000140545,4240,OID21134,Lactadherin,Olink Explore,Neurology_v1,MFGE8_4455_89,SeqId.4455-89,MFGM,Lactadherin,MFGE8,SomaScan v4,7036.0,MFGE8,milk fat globule EGF and factor V/VIII domain containing,602281,ENSG00000140545,4240.0,7036,MFGE8,602281,ENSG00000140545,4240,Lactadherin
MELTF,MELTF:P08582:Cardiometabolic_II,P08582,7037,MELTF,155750,ENSG00000163975,4241,OID30347,Melanotransferrin,Olink Explore,Cardiometabolic_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7037,MELTF,155750,ENSG00000163975,4241,Melanotransferrin
OGA,OGA:O60502:Oncology_II,O60502,7056,OGA,604039,ENSG00000198408,10724,OID31465,Protein O-GlcNAcase,Olink Explore,Oncology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7056,OGA,604039,ENSG00000198408,10724,Protein O-GlcNAcase
MGMT,MGMT:P16455:Inflammation,P16455,7059,MGMT,156569,ENSG00000170430,4255,OID20588,Methylated-DNA--protein-cysteine methyltransferase,Olink Explore,Inflammation_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7059,MGMT,156569,ENSG00000170430,4255,Methylated-DNA--protein-cysteine methyltransferase
MIA,MIA:Q16674:Oncology,Q16674,7076,MIA,601340,ENSG00000261857,8190,OID21531,Melanoma-derived growth regulatory protein,Olink Explore,Oncology_v1,MIA_2687_2,SeqId.2687-2,MIA,Melanoma-derived growth regulatory protein,MIA,SomaScan v4,7076.0,MIA,MIA SH3 domain containing,601340,ENSG00000261857,8190.0,7076,MIA,601340,ENSG00000261857,8190,Melanoma-derived growth regulatory protein
CD99,CD99:P14209:Neurology,P14209,7082,CD99,450000,ENSG00000002586,4267,OID21110,CD99 antigen,Olink Explore,Neurology_v1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,7082,CD99,450000,ENSG00000002586,4267,CD99 antigen
MIF,MIF:P14174:Neurology,P14174,7097,MIF,153620,ENSG00000240972,4282,OID21073,Macrophage migration inhibitory factor,Olink Explore,Neurology_v1,MIF_8221_19,SeqId.8221-19,MIF,Macrophage migration inhibitory factor,MIF,SomaScan v4,7097.0,MIF,macrophage migration inhibitory factor,153620,ENSG00000240972,4282.0,7097,MIF,153620,ENSG00000240972,4282,Macrophage migration inhibitory factor
