Protein,uniprot,UKBB_PPP_exposure,DECODE_exposure,UKBB_PPP_platform,DCODE_platform,UKBB_PPP_panel,DCODE_seqid,UKBB_PPP_oid,HGNC,Approved symbol,OMIM_Gene_ID,Ensembl_gene_ID,NCBI_Gene_ID,target_full_name
PLG,P00747,PLG:P00747:Inflammation_II,PLG_3710_49,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3710-49,OID30785,9071,PLG,173350,ENSG00000122194,5340,Plasminogen
PLG,P00747,PLG:P00747:Inflammation_II,PLG_4151_6,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4151-6,OID30785,9071,PLG,173350,ENSG00000122194,5340,Plasminogen
PLG,P00747,PLG:P00747:Inflammation_II,PLG_4150_75,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4150-75,OID30785,9071,PLG,173350,ENSG00000122194,5340,Plasminogen
SERPINF2,P08697,SERPINF2:P08697:Inflammation_II,SERPINF2_3024_18,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3024-18,OID30779,9075,SERPINF2,613168,ENSG00000167711,5345,Alpha-2-antiplasmin
PLIN1,O60240,PLIN1:O60240:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20835,9076,PLIN1,170290,ENSG00000166819,5346,Perilipin-1
PLTP,P55058,PLTP:P55058:Cardiometabolic,PLTP_15475_4,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.15475-4,OID20238,9093,PLTP,172425,ENSG00000100979,5360,Phospholipid transfer protein
PLXNA4,Q9HCM2,PLXNA4:Q9HCM2:Inflammation,PLXNA4_19560_23,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.19560-23,OID20597,9102,PLXNA4,604280,ENSG00000221866,91584,Plexin-A4
PLXNB2,O15031,PLXNB2:O15031:Cardiometabolic,PLXNB2_9216_100,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9216-100,OID20317,9104,PLXNB2,604293,ENSG00000196576,23654,Plexin-B2
PLXNB3,Q9ULL4,PLXNB3:Q9ULL4:Cardiometabolic,PLXNB3_16922_53,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.16922-53,OID20160,9105,PLXNB3,300214,ENSG00000198753,5365,Plexin-B3
PMM2,O15305,PMM2:O15305:Cardiometabolic_II,PMM2_17794_6,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.17794-6,OID30125,9115,PMM2,601785,ENSG00000140650,5373,Phosphomannomutase 2
PMS1,P54277,PMS1:P54277:Neurology_II,0,Olink Explore,0,Neurology_v1,0,OID30943,9121,PMS1,600258,ENSG00000064933,5378,PMS1 protein homolog 1
EXOSC10,Q01780,EXOSC10:Q01780:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30083,9138,EXOSC10,605960,ENSG00000171824,5394,Exosome component 10
PMVK,Q15126,PMVK:Q15126:Neurology,PMVK_12450_42,Olink Explore,SomaScan v4,Neurology_v1,SeqId.12450-42,OID20850,9141,PMVK,607622,ENSG00000163344,10654,Phosphomevalonate kinase
PNLIP,P16233,PNLIP:P16233:Inflammation_II,PNLIP_15613_16,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15613-16,OID30693,9155,PNLIP,246600,ENSG00000175535,5406,Pancreatic triacylglycerol lipase
PNLIPRP1,P54315,PNLIPRP1:P54315:Neurology_II,PNLIPRP1_6627_25,Olink Explore,SomaScan v4,Neurology_v1,SeqId.6627-25,OID31122,9156,PNLIPRP1,604422,ENSG00000187021,5407,Inactive pancreatic lipase-related protein 1
PNLIPRP2,P54317,PNLIPRP2:P54317:Inflammation,PNLIPRP2_15471_29,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15471-29,OID20775,9157,PNLIPRP2,604423,ENSG00000266200,5408,Pancreatic lipase-related protein 2
PNMA1,Q8ND90,PNMA1:Q8ND90:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30194,9158,PNMA1,604010,ENSG00000176903,9240,Paraneoplastic antigen Ma1
PODXL,O00592,PODXL:O00592:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21358,9171,PODXL,602632,ENSG00000128567,5420,Podocalyxin
POLR2F,P61218,POLR2F:P61218:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21283,9193,POLR2F,604414,ENSG00000100142,5435,"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
POMC,P01189,POMC:P01189:Cardiometabolic_II,POMC_9204_33,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9204-33,OID30282,9201,POMC,176830,ENSG00000115138,5443,Pro-opiomelanocortin
POMC,P01189,POMC:P01189:Cardiometabolic_II,POMC_2558_51,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.2558-51,OID30282,9201,POMC,176830,ENSG00000115138,5443,Pro-opiomelanocortin
POMC,P01189,POMC:P01189:Cardiometabolic_II,POMC_4890_10,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.4890-10,OID30282,9201,POMC,176830,ENSG00000115138,5443,Pro-opiomelanocortin
PON1,P27169,PON1:P27169:Inflammation_II,PON1_4261_55,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4261-55,OID30704,9204,PON1,168820,ENSG00000005421,5444,Serum paraoxonase/arylesterase 1
PON2,Q15165,PON2:Q15165:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20088,9205,PON2,602447,ENSG00000105854,5445,Serum paraoxonase/arylesterase 2
PON3,Q15166,PON3:Q15166:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20777,9206,PON3,602720,ENSG00000105852,5446,Serum paraoxonase/lactonase 3
PPBP,P02775,PPBP:P02775:Inflammation_II,PPBP_16765_52,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.16765-52,OID30761,9240,PPBP,121010,ENSG00000163736,5473,Platelet basic protein
PPBP,P02775,PPBP:P02775:Inflammation_II,PPBP_17165_1,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.17165-1,OID30761,9240,PPBP,121010,ENSG00000163736,5473,Platelet basic protein
PPBP,P02775,PPBP:P02775:Inflammation_II,PPBP_2790_54,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2790-54,OID30761,9240,PPBP,121010,ENSG00000163736,5473,Platelet basic protein
PPBP,P02775,PPBP:P02775:Inflammation_II,PPBP_4544_4,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4544-4,OID30761,9240,PPBP,121010,ENSG00000163736,5473,Platelet basic protein
PPIB,P23284,PPIB:P23284:Cardiometabolic,PPIB_4718_5,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.4718-5,OID20331,9255,PPIB,123841,ENSG00000166794,5479,Peptidyl-prolyl cis-trans isomerase B
PPIE,Q9UNP9,PPIE:Q9UNP9:Oncology_II,PPIE_5238_26,Olink Explore,SomaScan v4,Oncology_v1,SeqId.5238-26,OID31279,9258,PPIE,602435,ENSG00000084072,10450,Peptidyl-prolyl cis-trans isomerase E
PPIF,P30405,PPIF:P30405:Cardiometabolic_II,PPIF_5248_68,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5248-68,OID30385,9259,PPIF,604486,ENSG00000108179,10105,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
PPL,O60437,PPL:O60437:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30564,9273,PPL,602871,ENSG00000118898,5493,Periplakin
PPP1CC,P36873,PPP1CC:P36873:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31360,9283,PPP1CC,176914,ENSG00000186298,5501,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
PPP1R2,P41236,PPP1R2:P41236:Cardiometabolic,PPP1R2_19152_4,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.19152-4,OID20176,9288,PPP1R2,601792,ENSG00000184203,5504,Protein phosphatase inhibitor 2
PPP1R9B,Q96SB3,PPP1R9B:Q96SB3:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20643,9298,PPP1R9B,603325,ENSG00000108819,84687,Neurabin-2
PPP2R5A,Q15172,PPP2R5A:Q15172:Oncology_II,PPP2R5A_13622_16,Olink Explore,SomaScan v4,Oncology_v1,SeqId.13622-16,OID31502,9309,PPP2R5A,601643,ENSG00000066027,5525,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
PPP3R1,P63098,PPP3R1:P63098:Neurology,PPP3R1_15545_13,Olink Explore,SomaScan v4,Neurology_v1,SeqId.15545-13,OID20902,9317,PPP3R1,601302,ENSG00000221823,5534,Calcineurin subunit B type 1
PPY,P01298,PPY:P01298:Oncology,PPY_4588_1,Olink Explore,SomaScan v4,Oncology_v1,SeqId.4588-1,OID21516,9327,PPY,167780,ENSG00000108849,5539,Pancreatic prohormone
PRCP,P42785,PRCP:P42785:Cardiometabolic,PRCP_5722_78,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5722-78,OID20337,9344,PRCP,176785,ENSG00000137509,5547,Lysosomal Pro-X carboxypeptidase
PRDX1,Q06830,PRDX1:Q06830:Neurology,PRDX1_3855_56,Olink Explore,SomaScan v4,Neurology_v1,SeqId.3855-56,OID20962,9352,PRDX1,176763,ENSG00000117450,5052,Peroxiredoxin-1
PRDX2,P32119,PRDX2:P32119:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30668,9353,PRDX2,600538,ENSG00000167815,7001,Peroxiredoxin-2
PRDX3,P30048,PRDX3:P30048:Inflammation,PRDX3_8358_30,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.8358-30,OID20483,9354,PRDX3,604769,ENSG00000165672,10935,"Thioredoxin-dependent peroxide reductase, mitochondrial"
PRDX5,P30044,PRDX5:P30044:Inflammation,PRDX5_5017_19,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.5017-19,OID20644,9355,PRDX5,606583,ENSG00000126432,25824,"Peroxiredoxin-5, mitochondrial"
PREB,Q9HCU5,PREB:Q9HCU5:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20439,9356,PREB,606395,ENSG00000138073,10113,Prolactin regulatory element-binding protein
PRELP,P51888,PRELP:P51888:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20766,9357,PRELP,601914,ENSG00000188783,5549,Prolargin
PRG2,P13727,PRG2:P13727:Cardiometabolic_II,PRG2_7258_5,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7258-5,OID30381,9362,PRG2,605601,ENSG00000186652,5553,Bone marrow proteoglycan
PRG3,Q9Y2Y8,PRG3:Q9Y2Y8:Cardiometabolic_II,PRG3_9015_1,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.9015-1,OID30383,9363,PRG3,606814,ENSG00000156575,10394,Proteoglycan 3
PRKAB1,Q9Y478,PRKAB1:Q9Y478:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20444,9378,PRKAB1,602740,ENSG00000111725,5564,5'-AMP-activated protein kinase subunit beta-1
PRKAR1A,P10644,PRKAR1A:P10644:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20146,9388,PRKAR1A,188830,ENSG00000108946,5573,cAMP-dependent protein kinase type I-alpha regulatory subunit
PRKAR2A,P13861,PRKAR2A:P13861:Neurology_II,PRKAR2A_19125_26,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19125-26,OID31119,9391,PRKAR2A,176910,ENSG00000114302,5576,cAMP-dependent protein kinase type II-alpha regulatory subunit
PRKG1,Q13976,PRKG1:Q13976:Inflammation_II,PRKG1_13067_5,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.13067-5,OID30621,9414,PRKG1,176894,ENSG00000185532,5592,cGMP-dependent protein kinase 1
EIF2AK2,P19525,EIF2AK2:P19525:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31442,9437,EIF2AK2,176871,ENSG00000055332,5610,"Interferon-induced, double-stranded RNA-activated protein kinase"
PRKRA,O75569,PRKRA:O75569:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21225,9438,PRKRA,603424,ENSG00000180228,8575,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
THAP12,O43422,THAP12:O43422:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31238,9440,THAP12,607374,ENSG00000137492,5612,52 kDa repressor of the inhibitor of the protein kinase
PRL,P01236,PRL:P01236:Neurology,PRL_2585_2,Olink Explore,SomaScan v4,Neurology_v1,SeqId.2585-2,OID21033,9445,PRL,176760,ENSG00000172179,5617,Prolactin
PROC,P04070,PROC:P04070:Cardiometabolic,PROC_2961_1,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.2961-1,OID20402,9451,PROC,612283,ENSG00000115718,5624,Vitamin K-dependent protein C
PROC,P04070,PROC:P04070:Cardiometabolic,PROC_3758_68,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3758-68,OID20402,9451,PROC,612283,ENSG00000115718,5624,Vitamin K-dependent protein C
PROCR,Q9UNN8,PROCR:Q9UNN8:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30149,9452,PROCR,600646,ENSG00000101000,10544,Endothelial protein C receptor
PROS1,P07225,PROS1:P07225:Inflammation_II,PROS1_2700_56,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2700-56,OID30737,9456,PROS1,176880,ENSG00000184500,5627,Vitamin K-dependent protein S
PLPBP,O94903,PLPBP:O94903:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20144,9457,PLPBP,604436,ENSG00000147471,11212,Pyridoxal phosphate homeostasis protein
LGMN,Q99538,LGMN:Q99538:Inflammation,LGMN_3622_33,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.3622-33,OID20773,9472,LGMN,602620,ENSG00000100600,5641,Legumain
LONP1,P36776,LONP1:P36776:Cardiometabolic_II,LONP1_6398_12,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6398-12,OID30219,9479,LONP1,605490,ENSG00000196365,9361,"Lon protease homolog, mitochondrial"
PRSS2,P07478,PRSS2:P07478:Cardiometabolic,PRSS2_5034_79,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5034-79,OID20364,9483,PRSS2,601564,ENSG00000275896,5645,Trypsin-2
TMPRSS15,P98073,TMPRSS15:P98073:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21364,9490,TMPRSS15,606635,ENSG00000154646,5651,Enteropeptidase
PRSS8,Q16651,PRSS8:Q16651:Inflammation,PRSS8_15513_108,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.15513-108,OID20763,9491,PRSS8,600823,ENSG00000052344,5652,Prostasin
PRTN3,P24158,PRTN3:P24158:Cardiometabolic,PRTN3_13720_95,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.13720-95,OID20329,9495,PRTN3,177020,ENSG00000196415,5657,Myeloblastin
PSAP,P07602,PSAP:P07602:Cardiometabolic_II,PSAP_6207_10,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6207-10,OID30419,9498,PSAP,176801,ENSG00000197746,5660,Prosaposin
PSCA,O43653,PSCA:O43653:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31493,9500,PSCA,602470,ENSG00000167653,8000,Prostate stem cell antigen
PSG1,P11464,PSG1:P11464:Neurology,PSG1_15631_18,Olink Explore,SomaScan v4,Neurology_v1,SeqId.15631-18,OID20916,9514,PSG1,176390,ENSG00000231924,5669,Pregnancy-specific beta-1-glycoprotein 1
PSIP1,O75475,PSIP1:O75475:Inflammation,PSIP1_17176_13,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.17176-13,OID20534,9527,PSIP1,603620,ENSG00000164985,11168,PC4 and SFRS1-interacting protein
PSMD9,O00233,PSMD9:O00233:Oncology,PSMD9_13931_22,Olink Explore,SomaScan v4,Oncology_v1,SeqId.13931-22,OID21304,9567,PSMD9,603146,ENSG00000110801,5715,26S proteasome non-ATPase regulatory subunit 9
PSME1,Q06323,PSME1:Q06323:Neurology,PSME1_5918_5,Olink Explore,SomaScan v4,Neurology_v1,SeqId.5918-5,OID20969,9568,PSME1,600654,ENSG00000092010,5720,Proteasome activator complex subunit 1
PSME2,Q9UL46,PSME2:Q9UL46:Neurology,PSME2_17694_32,Olink Explore,SomaScan v4,Neurology_v1,SeqId.17694-32,OID20989,9569,PSME2,602161,ENSG00000100911,5721,Proteasome activator complex subunit 2
PSPN,O60542,PSPN:O60542:Inflammation,PSPN_2696_87,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.2696-87,OID20511,9579,PSPN,602921,ENSG00000125650,5623,Persephin
PSTPIP2,Q9H939,PSTPIP2:Q9H939:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30596,9581,PSTPIP2,616046,ENSG00000152229,9050,Proline-serine-threonine phosphatase-interacting protein 2
PTGDS,P41222,PTGDS:P41222:Cardiometabolic,PTGDS_10514_5,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.10514-5,OID20408,9592,PTGDS,176803,ENSG00000107317,5730,Prostaglandin-H2 D-isomerase
PTH,P01270,PTH:P01270:Neurology_II,PTH_19640_2,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19640-2,OID30963,9606,PTH,168450,ENSG00000152266,5741,Parathyroid hormone
PTH,P01270,PTH:P01270:Neurology_II,PTH_5954_62,Olink Explore,SomaScan v4,Neurology_v1,SeqId.5954-62,OID30963,9606,PTH,168450,ENSG00000152266,5741,Parathyroid hormone
PTH1R,Q03431,PTH1R:Q03431:Inflammation,PTH1R_13470_43,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.13470-43,OID20571,9608,PTH1R,168468,ENSG00000160801,5745,Parathyroid hormone/parathyroid hormone-related peptide receptor
PTK7,Q13308,PTK7:Q13308:Neurology,PTK7_9525_1,Olink Explore,SomaScan v4,Neurology_v1,SeqId.9525-1,OID20880,9618,PTK7,601890,ENSG00000112655,5754,Inactive tyrosine-protein kinase 7
TWF2,Q6IBS0,TWF2:Q6IBS0:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30386,9621,TWF2,607433,ENSG00000247596,11344,Twinfilin-2
PTN,P21246,PTN:P21246:Cardiometabolic,PTN_3045_72,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3045-72,OID20083,9630,PTN,162095,ENSG00000105894,5764,Pleiotrophin
PTP4A3,O75365,PTP4A3:O75365:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30469,9636,PTP4A3,606449,ENSG00000184489,11156,Protein tyrosine phosphatase type IVA 3
PTPN1,P18031,PTPN1:P18031:Neurology,PTPN1_3005_5,Olink Explore,SomaScan v4,Neurology_v1,SeqId.3005-5,OID20908,9642,PTPN1,176885,ENSG00000196396,5770,Tyrosine-protein phosphatase non-receptor type 1
PTPN6,P29350,PTPN6:P29350:Inflammation,PTPN6_4318_12,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.4318-12,OID20717,9658,PTPN6,176883,ENSG00000111679,5777,Tyrosine-protein phosphatase non-receptor type 6
SIRPA,P78324,SIRPA:P78324:Cardiometabolic,SIRPA_5430_66,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.5430-66,OID20304,9662,SIRPA,602461,ENSG00000198053,140885,Tyrosine-protein phosphatase non-receptor type substrate 1
PTPRB,P23467,PTPRB:P23467:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30324,9665,PTPRB,176882,ENSG00000127329,5787,Receptor-type tyrosine-protein phosphatase beta
PTPRC,P08575,PTPRC:P08575:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30380,9666,PTPRC,151460,ENSG00000081237,5788,Receptor-type tyrosine-protein phosphatase C
PTPRF,P10586,PTPRF:P10586:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20310,9670,PTPRF,179590,ENSG00000142949,5792,Receptor-type tyrosine-protein phosphatase F
PTPRH,Q9HD43,PTPRH:Q9HD43:Oncology_II,PTPRH_11988_24,Olink Explore,SomaScan v4,Oncology_v1,SeqId.11988-24,OID31433,9672,PTPRH,602510,ENSG00000080031,5794,Receptor-type tyrosine-protein phosphatase H
PTPRK,Q15262,PTPRK:Q15262:Oncology_II,0,Olink Explore,0,Oncology_v1,0,OID31461,9674,PTPRK,602545,ENSG00000152894,5796,Receptor-type tyrosine-protein phosphatase kappa
PTPRM,P28827,PTPRM:P28827:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20598,9675,PTPRM,176888,ENSG00000173482,5797,Receptor-type tyrosine-protein phosphatase mu
PTPRN2,Q92932,PTPRN2:Q92932:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20912,9677,PTPRN2,601698,ENSG00000155093,5799,Receptor-type tyrosine-protein phosphatase N2
PTPRR,Q15256,PTPRR:Q15256:Neurology_II,PTPRR_6361_49,Olink Explore,SomaScan v4,Neurology_v1,SeqId.6361-49,OID31099,9680,PTPRR,602853,ENSG00000153233,5801,Receptor-type tyrosine-protein phosphatase R
PTPRS,Q13332,PTPRS:Q13332:Cardiometabolic,PTPRS_6049_64,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.6049-64,OID20306,9681,PTPRS,601576,ENSG00000105426,5802,Receptor-type tyrosine-protein phosphatase S
PTPRZ1,P23471,PTPRZ1:P23471:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30343,9685,PTPRZ1,176891,ENSG00000106278,5803,Receptor-type tyrosine-protein phosphatase zeta
PTS,Q03393,PTS:Q03393:Neurology,PTS_12014_19,Olink Explore,SomaScan v4,Neurology_v1,SeqId.12014-19,OID20847,9689,PTS,612719,ENSG00000150787,5805,6-pyruvoyl tetrahydrobiopterin synthase
PTX3,P26022,PTX3:P26022:Inflammation,PTX3_6447_73,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.6447-73,OID20570,9692,PTX3,602492,ENSG00000163661,5806,Pentraxin-related protein PTX3
IGDCC3,Q8IVU1,IGDCC3:Q8IVU1:Neurology_II,IGDCC3_11952_1,Olink Explore,SomaScan v4,Neurology_v1,SeqId.11952-1,OID30862,9700,IGDCC3,604184,ENSG00000174498,9543,Immunoglobulin superfamily DCC subclass member 3
IGDCC3,Q8IVU1,IGDCC3:Q8IVU1:Neurology_II,IGDCC3_7118_24,Olink Explore,SomaScan v4,Neurology_v1,SeqId.7118-24,OID30862,9700,IGDCC3,604184,ENSG00000174498,9543,Immunoglobulin superfamily DCC subclass member 3
PVALB,P20472,PVALB:P20472:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21420,9704,PVALB,168890,ENSG00000100362,5816,Parvalbumin alpha
PVR,P15151,PVR:P15151:Neurology,PVR_8064_125,Olink Explore,SomaScan v4,Neurology_v1,SeqId.8064-125,OID21011,9705,PVR,173850,ENSG00000073008,5817,Poliovirus receptor
NECTIN1,Q15223,NECTIN1:Q15223:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30545,9706,NECTIN1,600644,ENSG00000110400,5818,Nectin-1
NECTIN2,Q92692,NECTIN2:Q92692:Cardiometabolic,0,Olink Explore,0,Cardiometabolic_v1,0,OID20222,9707,NECTIN2,600798,ENSG00000130202,5819,Nectin-2
PXN,P49023,PXN:P49023:Neurology,0,Olink Explore,0,Neurology_v1,0,OID20822,9718,PXN,602505,ENSG00000089159,5829,Paxillin
PYY,P10082,PYY:P10082:Cardiometabolic_II,PYY_3727_35,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3727-35,OID30150,9748,PYY,600781,ENSG00000131096,5697,Peptide YY
PZP,P20742,PZP:P20742:Inflammation_II,PZP_6580_29,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.6580-29,OID30730,9750,PZP,176420,ENSG00000126838,5858,Pregnancy zone protein
QDPR,P09417,QDPR:P09417:Cardiometabolic,QDPR_11257_1,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.11257-1,OID20174,9752,QDPR,612676,ENSG00000151552,5860,Dihydropteridine reductase
QPCT,Q16769,QPCT:Q16769:Cardiometabolic,QPCT_7849_3,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.7849-3,OID20320,9753,QPCT,607065,ENSG00000115828,25797,Glutaminyl-peptide cyclotransferase
QSOX1,O00391,QSOX1:O00391:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30729,9756,QSOX1,603120,ENSG00000116260,5768,Sulfhydryl oxidase 1
RAB10,P61026,RAB10:P61026:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30357,9759,RAB10,612672,ENSG00000084733,10890,Ras-related protein Rab-10
RAB27B,O00194,RAB27B:O00194:Cardiometabolic_II,RAB27B_13596_3,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.13596-3,OID30354,9767,RAB27B,603869,ENSG00000041353,5874,Ras-related protein Rab-27B
RAB33A,Q14088,RAB33A:Q14088:Cardiometabolic_II,0,Olink Explore,0,Cardiometabolic_v1,0,OID30122,9773,RAB33A,300333,ENSG00000134594,9363,Ras-related protein Rab-33A
RAB6A,P20340,RAB6A:P20340:Inflammation,0,Olink Explore,0,Inflammation_v1,0,OID20608,9786,RAB6A,179513,ENSG00000175582,5870,Ras-related protein Rab-6A
RAD23B,P54727,RAD23B:P54727:Oncology,RAD23B_12522_6,Olink Explore,SomaScan v4,Oncology_v1,SeqId.12522-6,OID21166,9813,RAD23B,600062,ENSG00000119318,5887,UV excision repair protein RAD23 homolog B
RALB,P11234,RALB:P11234:Inflammation_II,RALB_18432_32,Olink Explore,SomaScan v4,Inflammation_v1,SeqId.18432-32,OID30567,9840,RALB,179551,ENSG00000144118,5899,Ras-related protein Ral-B
RANBP1,P43487,RANBP1:P43487:Cardiometabolic_II,RANBP1_18191_23,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.18191-23,OID30258,9847,RANBP1,601180,ENSG00000099901,5902,Ran-specific GTPase-activating protein
RAP1A,P62834,RAP1A:P62834:Inflammation_II,0,Olink Explore,0,Inflammation_v1,0,OID30452,9855,RAP1A,179520,ENSG00000116473,5906,Ras-related protein Rap-1A
RARRES1,P49788,RARRES1:P49788:Oncology,RARRES1_8398_277,Olink Explore,SomaScan v4,Oncology_v1,SeqId.8398-277,OID21177,9867,RARRES1,605090,ENSG00000118849,5918,Retinoic acid receptor responder protein 1
RARRES2,Q99969,RARRES2:Q99969:Cardiometabolic,RARRES2_3079_62,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.3079-62,OID20373,9868,RARRES2,601973,ENSG00000106538,5919,Retinoic acid receptor responder protein 2
RASSF2,P50749,RASSF2:P50749:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21194,9883,RASSF2,609492,ENSG00000101265,9770,Ras association domain-containing protein 2
RBP1,P09455,RBP1:P09455:Neurology_II,RBP1_19279_42,Olink Explore,SomaScan v4,Neurology_v1,SeqId.19279-42,OID30913,9919,RBP1,180260,ENSG00000114115,5947,Retinol-binding protein 1
RBP2,P50120,RBP2:P50120:Oncology,0,Olink Explore,0,Oncology_v1,0,OID21365,9920,RBP2,180280,ENSG00000114113,5948,Retinol-binding protein 2
REG1A,P05451,REG1A:P05451:Cardiometabolic,REG1A_13095_51,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.13095-51,OID20415,9951,REG1A,167770,ENSG00000115386,5967,Lithostathine-1-alpha
REG1B,P48304,REG1B:P48304:Cardiometabolic,REG1B_16770_3,Olink Explore,SomaScan v4,Cardiometabolic_v1,SeqId.16770-3,OID20266,9952,REG1B,167771,ENSG00000172023,5968,Lithostathine-1-beta
